Facility Name,Phone Number,Address,City,State,Zip Code,License Number,County,Capacity,Date Accessed,State Facility Type 1 Literal
Salem Mennonite Home,(605) 925-4994,106 W 7TH ST,Freeman,SD,57029-2319,10622,Hutchinson,52,6/30/21,ASSISTED LIVING CENTER
Good Samaritan Society - Herreid,(605) 437-2425,806 MAIN ST N,Herreid,SD,57632,10627,Campbell,16,6/30/21,ASSISTED LIVING CENTER
Avera St. Benedict Assisted Living,(605) 928-3561,400 W. FIR ST.,Parkston,SD,57366,10659,Hutchinson,25,6/30/21,ASSISTED LIVING CENTER
Serenity Corner,(605) 642-4029,19566 OLD BELLE ROAD,Spearﬁsh,SD,57783,10687,Lawrence,16,6/30/21,ASSISTED LIVING CENTER
Dakota Hills Assisted Living Center,(605) 423-8084,1124 2ND ST,Sturgis,SD,57785-1802,10691,Meade,10,6/30/21,ASSISTED LIVING CENTER
"Key City Assisted Living, Llc",(605) 347-2770,1542 DAVENPORT ST,Sturgis,SD,57785-5911,10692,Meade,16,6/30/21,ASSISTED LIVING CENTER
Dakota Sun Assisted Living Ii Inc,(605) 627-9141,125 W 2ND ST,Volga,SD,57071,10699,Brookings,16,6/30/21,ASSISTED LIVING CENTER
"Castle Retirement Home, Inc.",(605) 269-2422,1020 ASH ST,Whitewood,SD,57793-0636,10711,Lawrence,9,6/30/21,ASSISTED LIVING CENTER
High Prairie Retirement Home,(605) 892-0082,19129 PRAIRIE HILLS RD.,Belle Fourche,SD,57717-9760,10720,Butte,10,6/30/21,ASSISTED LIVING CENTER
Meadow Lake Assisted Living,(605) 882-4388,17444 MEADOW LAKE RD,Watertown,SD,57201,10727,Codington,16,6/30/21,ASSISTED LIVING CENTER
Kelly`S Retirement I,(605) 224-5261,615 S JEFFERSON,Pierre,SD,57501-4118,10728,Hughes,15,6/30/21,ASSISTED LIVING CENTER
Judy`S Assisted Living Center,(605) 723-4792,1308 SUNDANCE CIRCLE,Belle Fourche,SD,57717-1630,10731,Butte,20,6/30/21,ASSISTED LIVING CENTER
Angelhaus Yankton,(605) 665-1559,300 E 6TH ST,Yankton,SD,57078-4046,10733,Yankton,44,6/30/21,ASSISTED LIVING CENTER
Tender Care Assisted Living,(605) 642-7963,209 EVANS LANE,Spearﬁsh,SD,57783-1130,10736,Lawrence,32,6/30/21,ASSISTED LIVING CENTER
Johnson Center Of Sun Dial Manor,(605) 492-3615,410 2ND ST,Bristol,SD,57219-0337,10739,Day,14,6/30/21,ASSISTED LIVING CENTER
Lennox Assisted And Independent Living,(605) 647-5515,210 S LINCOLN ST,Lennox,SD,57039-2306,10741,Lincoln,42,6/30/21,ASSISTED LIVING CENTER
Trail Ridge Retirement Community Alc,(605) 339-9123,3408 W RALPH ROGERS RD,Sioux Falls,SD,57108-2639,10744,Lincoln,131,6/30/21,ASSISTED LIVING CENTER
The Inn On Westport,(605) 362-1210,4000 S WESTPORT AVE,Sioux Falls,SD,57106-2356,10745,Minnehaha,140,6/30/21,ASSISTED LIVING CENTER
"Edgewood Prairie Crossings Watertown Al, Llc",(605) 882-0911,420 9TH STREET SE,Watertown,SD,57201,10746,Codington,29,6/30/21,ASSISTED LIVING CENTER
Riverview Retirement Home,(605) 734-5447,208 SOUTH ALCOTT,Chamberlain,SD,57325,10751,Brule,10,6/30/21,ASSISTED LIVING CENTER
Primrose Basic Care And Memory Cottages,(605) 226-4040,1518 MEADOWBROOK COURT,Aberdeen,SD,57401,10754,Brown,30,6/30/21,ASSISTED LIVING CENTER
Fountain Springs Assisted Living,(605) 343-3555,2000 WESLEYAN BLVD,Rapid City,SD,57702-9340,10757,Pennington,10,6/30/21,ASSISTED LIVING CENTER
Fairmont Grand Senior Care,(605) 399-1551,409 E FAIRLANE DR,Rapid City,SD,57701-7207,10760,Pennington,16,6/30/21,ASSISTED LIVING CENTER
Prairie View Assisted Living Center,(605) 778-6711,313 S WATER ST,Kimball,SD,57355-9333,10762,Brule,16,6/30/21,ASSISTED LIVING CENTER
Touchmark At All Saints,(605) 335-1117,111 WEST 17TH,Sioux Falls,SD,57104-4939,10767,Minnehaha,157,6/30/21,ASSISTED LIVING CENTER
Helping Hand Assisted Living,(605) 582-7939,1000 TEAKWOOD,Brandon,SD,57005-0916,10769,Minnehaha,68,6/30/21,ASSISTED LIVING CENTER
Fairmont Grand Senior Care,(605) 399-1551,405 E FAIRLANE DR.,Rapid City,SD,57701,10771,Pennington,16,6/30/21,ASSISTED LIVING CENTER
