Facility Name,Phone Number,Address,City,State,Zip Code,City,License Number,County,Capacity
Salem Mennonite Home,(605) 925-4994,106 W 7th St,Freeman,SD,57029-2319,Freeman,10622,Hutchinson,52
Good Samaritan Society - Herreid,(605) 437-2425,806 Main St N,Herreid,SD,57632,Herreid,10627,Campbell,16
Avera St. Benedict Assisted Living,(605) 928-3561,400 W. Fir St.,Parkston,SD,57366,Parkston,10659,Hutchinson,25
Serenity Corner,(605) 642-4029,19566 Old Belle Road,Spearﬁsh,SD,57783,Spearﬁsh,10687,Lawrence,16
Dakota Hills Assisted Living Center,(605) 423-8084,1124 2nd St,Sturgis,SD,57785-1802,Sturgis,10691,Meade,10
"Key City Assisted Living, LLC",(605) 347-2770,1542 Davenport St,Sturgis,SD,57785-5911,Sturgis,10692,Meade,16
Dakota Sun Assisted Living II Inc,(605) 627-9141,125 W 2nd St,Volga,SD,57071,Volga,10699,Brookings,16
"Castle Retirement Home, Inc.",(605) 269-2422,1020 Ash St,Whitewood,SD,57793-0636,Whitewood,10711,Lawrence,9
High Prairie Retirement Home,(605) 892-0082,19129 Prairie Hills Rd.,Belle Fourche,SD,57717-9760,Belle Fourche,10720,Butte,10
Meadow Lake Assisted Living,(605) 882-4388,17444 Meadow Lake Rd,Watertown,SD,57201,Watertown,10727,Codington,16
Kelly`s Retirement I,(605) 224-5261,615 S Jefferson,Pierre,SD,57501-4118,Pierre,10728,Hughes,15
Judy`s Assisted Living Center,(605) 723-4792,1308 Sundance Circle,Belle Fourche,SD,57717-1630,Belle Fourche,10731,Butte,20
Angelhaus Yankton,(605) 665-1559,300 E 6th St,Yankton,SD,57078-4046,Yankton,10733,Yankton,44
Tender Care Assisted Living,(605) 642-7963,209 Evans Lane,Spearﬁsh,SD,57783-1130,Spearﬁsh,10736,Lawrence,32
Johnson Center Of Sun Dial Manor,(605) 492-3615,410 2nd St,Bristol,SD,57219-0337,Bristol,10739,Day,14
Lennox Assisted and Independent Living,(605) 647-5515,210 S Lincoln St,Lennox,SD,57039-2306,Lennox,10741,Lincoln,42
Trail Ridge Retirement Community ALC,(605) 339-9123,3408 W Ralph Rogers Rd,Sioux Falls,SD,57108-2639,Sioux Falls,10744,Lincoln,131
The Inn On Westport,(605) 362-1210,4000 S Westport Ave,Sioux Falls,SD,57106-2356,Sioux Falls,10745,Minnehaha,140
"Edgewood Prairie Crossings Watertown AL, LLC",(605) 882-0911,420 9th Street SE,Watertown,SD,57201,Watertown,10746,Codington,29
Riverview Retirement Home,(605) 734-5447,208 South Alcott,Chamberlain,SD,57325,Chamberlain,10751,Brule,10
Primrose Basic Care and Memory Cottages,(605) 226-4040,1518 Meadowbrook Court,Aberdeen,SD,57401,Aberdeen,10754,Brown,30
Fountain Springs Assisted Living,(605) 343-3555,2000 Wesleyan Blvd,Rapid City,SD,57702-9340,Rapid City,10757,Pennington,10
Fairmont Grand Senior Care,(605) 399-1551,409 E Fairlane Dr,Rapid City,SD,57701-7207,Rapid City,10760,Pennington,16
Prairie View Assisted Living Center,(605) 778-6711,313 S Water St,Kimball,SD,57355-9333,Kimball,10762,Brule,16
Touchmark at All Saints,(605) 335-1117,111 West 17th,Sioux Falls,SD,57104-4939,Sioux Falls,10767,Minnehaha,157
Helping Hand Assisted Living,(605) 582-7939,1000 Teakwood,Brandon,SD,57005-0916,Brandon,10769,Minnehaha,68
Fairmont Grand Senior Care,(605) 399-1551,405 E Fairlane Dr.,Rapid City,SD,57701,Rapid City,10771,Pennington,16
Fairmont Grand Senior Care,(605) 399-1551,413 E Fairlane Dr,Rapid City,SD,57701-7207,Rapid City,11034,Pennington,16
The Victorian Assisted Living,(605) 342-1913,1321 Columbus St.,Rapid City,SD,57701-2538,Rapid City,11035,Pennington,48
Pioneer Inn,(605) 326-5161,315 N Washington,Viborg,SD,57070-0368,Viborg,11036,Turner,12
Angelhaus East,(605) 665-7255,2905 Douglas Ave,Yankton,SD,57078,Yankton,11037,Yankton,36
Fay Wookey Memorial Assisted Living Center,(605) 532-5799,700 N Smith,Clark,SD,57225-1120,Clark,11038,Clark,30
Bethesda Towne Square,(605) 225-7600,1425 15th Ave SE,Aberdeen,SD,57401-7754,Aberdeen,11040,Brown,52
Spruce Court,(605) 448-2412,413 9th St,Britton,SD,57430-2274,Britton,11042,Marshall,25
Roetell Senior Housing,(605) 532-5430,108 S Smith,Clark,SD,57225-1627,Clark,11043,Clark,15
Parkview Apartments Assisted Living,(605) 267-2081,515 Ohio St,Wakonda,SD,57073-0327,Wakonda,11048,Clay,7
Garden Hills Assisted Living,(605) 642-0404,905 S 34th St,Spearﬁsh,SD,57783,Spearﬁsh,11051,Lawrence,16
Bethel Suites,(605) 256-4539,911 S Egan Ave,Madison,SD,57042,Madison,11053,Lake,16
Edgewood Greenleaf Brookings LLC,(605) 692-6311,2015 8th St S,Brookings,SD,57006-3506,Brookings,11055,Brookings,50
Sandstone Senior Living,(605) 642-4910,2010 Windmill Drive,Spearﬁsh,SD,57783,Spearﬁsh,11062,Lawrence,30
Edgewood Watertown MC 2 LLC,(605) 882-3084,225 14th Ave NE,Watertown,SD,57201,Watertown,11064,Codington,16
Springﬁeld Assisted Living Center,(605) 369-5445,701 Pine St,Springﬁeld,SD,57062-2129,Springﬁeld,11066,Bon Homme,36
The Silverleaf,(605) 859-3434,519 W Pine St,Philip,SD,57567-0818,Philip,11069,Haakon,16
Meadows on Sycamore Inc.,(605) 332-0938,138 N Sycamore,Sioux Falls,SD,57110-1230,Sioux Falls,11071,Minnehaha,33
"The Homestead Assisted Living, LLC",(605) 785-3310,802 1st Ave S,Lake Norden,SD,57248,Lake Norden,11072,Hamlin,8
Edgewood Sioux Falls Senior Living LLC,(605) 367-9570,3401 Ralph Rogers Rd,Sioux Falls,SD,57108,Sioux Falls,11073,Lincoln,28
Meadows on Sycamore Inc.,(605) 332-0938,130 N Sycamore,Sioux Falls,SD,57110,Sioux Falls,11077,Minnehaha,45
Eureka Community Health Services - ALC,(605) 284-2661,200 J Ave,Eureka,SD,57437-0517,Eureka,11079,Mcpherson,13
Prairie Sunset Village,(605) 845-3692,1401 10th Ave W,Mobridge,SD,57601,Mobridge,11085,Walworth,16
Golden Prairie Manor,(605) 842-0508,1145 Golden Prairie Dr,Winner,SD,57580,Winner,11087,Tripp,40
Haisch Haus Assisted Living,(605) 654-9045,201 N Garrison St,Bonesteel,SD,57317-0257,Bonesteel,40097,Gregory,16
Sanford Hiawatha Heights,(605) 764-1400,398 N Hiawatha Dr,Canton,SD,57013-5876,Canton,40120,Lincoln,16
"Castlewood Assisted Living, LLC",(605) 793-2234,108 W Main,Castlewood,SD,57223-9999,Castlewood,40126,Hamlin,16
Lakeside Assisted Living,(605) 472-2191,1010 W 5th St,Redﬁeld,SD,57469-0220,Redﬁeld,40127,Spink,16
Courtyard Villa Assisted Living Center,(605) 853-0365,225 W 4th St,Miller,SD,57362-1545,Miller,40288,Hand,24
Wellshire Park Place,(605) 432-5695,1105 S 2nd St,Milbank,SD,57252-3321,Milbank,40533,Grant,36
Meadows on Sycamore Inc.,(605) 332-0938,146 N Sycamore,Sioux Falls,SD,57110,Sioux Falls,40562,Minnehaha,45
Kelly`s Retirement II,(605) 224-9811,1522 E Dakota,Pierre,SD,57501-4118,Pierre,40563,Hughes,16
Colton Retirement Living,(605) 446-3603,706 E 1st St,Colton,SD,57018,Colton,40797,Minnehaha,16
There`s A Hart,(605) 343-5563,2303 Michigan Ave,Rapid City,SD,57701,Rapid City,40944,Pennington,13
WEL-Life at Elk Point,(605) 356-2774,600 E Lincoln St,Elk Point,SD,57025,Elk Point,41022,Union,36
Garden Hills Assisted Living 2,(605) 642-0404,825 S 34th St,Spearﬁsh,SD,57783,Spearﬁsh,41075,Lawrence,15
"Ramona Assisted Living, LLC",(605) 482-8221,210 E 3rd St,Ramona,SD,57054,Ramona,41085,Lake,16
Monument Health Assisted Living,(605) 673-5588,423 N 10th St,Custer,SD,57730,Custer,41208,Custer,16
