Name,Phone,Physical Address,City,State,Zip Code,Mailing Address,City,State,Zip Code,StateLicenserNo,County,Total Beds,Administrator
Salem Mennonite Home,(605) 925-4994,106 W 7th St,Freeman,SD,57029-2319,106 W 7th St,Freeman,SD,57029-2319,10622,Hutchinson,52,"Knodel, Shirley"
Good Samaritan Society - Herreid,(605) 437-2425,806 Main St N,Herreid,SD,57632,PO Box 8,Herreid,SD,57632-0008,10627,Campbell,16,"Mitzel, Mary"
Avera St. Benedict Assisted Living,(605) 928-3561,400 W. Fir St.,Parkston,SD,57366,401 W Glynn Drive,Parkston,SD,57366,10659,Hutchinson,25,"Kummer, Mary"
Serenity Corner,(605) 642-4029,19566 Old Belle Road,Spearﬁsh,SD,57783,19566 Old Belle Road,Spearﬁsh,SD,57783,10687,Lawrence,16,"Allbright, Sarah"
Dakota Hills Assisted Living Center,(605) 423-8084,1124 2nd St,Sturgis,SD,57785-1802,1124 2nd St,Sturgis,SD,57785-1802,10691,Meade,10,"Quinn, James"
"Key City Assisted Living, LLC",(605) 347-2770,1542 Davenport St,Sturgis,SD,57785-5911,1542 Davenport St,Sturgis,SD,57785,10692,Meade,16,"Fischer, Robyn"
Dakota Sun Assisted Living II Inc,(605) 627-9141,125 W 2nd St,Volga,SD,57071,125 W 2nd St,Volga,SD,57071,10699,Brookings,16,"Granum, Cheryl"
"Castle Retirement Home, Inc.",(605) 269-2422,1020 Ash St,Whitewood,SD,57793-0636,1020 Ash St,Whitewood,SD,57793,10711,Lawrence,9,"Bates, Kari"
High Prairie Retirement Home,(605) 892-0082,19129 Prairie Hills Rd.,Belle Fourche,SD,57717-9760,19129 Prairie Hills Rd,Belle Fourche,SD,57717-9760,10720,Butte,10,"Hall, Linda"
Meadow Lake Assisted Living,(605) 882-4388,17444 Meadow Lake Rd,Watertown,SD,57201,17444 Meadow Lake Rd,Watertown,SD,57201,10727,Codington,16,"Kapelle, Mark"
Kelly`s Retirement I,(605) 224-5261,615 S Jefferson,Pierre,SD,57501-4118,615 S Jefferson,Pierre,SD,57501-4118,10728,Hughes,15,"Moore, Robyn"
Judy`s Assisted Living Center,(605) 723-4792,1308 Sundance Circle,Belle Fourche,SD,57717-1630,1308 Sundance Circle,Belle Fourche,SD,57717-1630,10731,Butte,20,"Riedel, Judy"
Angelhaus Yankton,(605) 665-1559,300 E 6th St,Yankton,SD,57078-4046,300 E 6th St,Yankton,SD,57078-4046,10733,Yankton,44,"Brock-Chang, Amy"
Tender Care Assisted Living,(605) 642-7963,209 Evans Lane,Spearﬁsh,SD,57783-1130,209 Evans Lane,Spearﬁsh,SD,57783-1130,10736,Lawrence,32,"Burr, Aileen"
Johnson Center Of Sun Dial Manor,(605) 492-3615,410 2nd St,Bristol,SD,57219-0337,PO Box 337,Bristol,SD,57219-0337,10739,Day,14,"Conekin, Tammy"
Lennox Assisted and Independent Living,(605) 647-5515,210 S Lincoln St,Lennox,SD,57039-2306,210 S Lincoln St,Lennox,SD,57039-2306,10741,Lincoln,42,"Anderson, Natalie"
Trail Ridge Retirement Community ALC,(605) 339-9123,3408 W Ralph Rogers Rd,Sioux Falls,SD,57108-2639,3408 W Ralph Rogers Rd,Sioux Falls,SD,57108-2639,10744,Lincoln,131,"Patten, Dawn"
The Inn On Westport,(605) 362-1210,4000 S Westport Ave,Sioux Falls,SD,57106-2356,4000 S Westport Ave,Sioux Falls,SD,57106-2356,10745,Minnehaha,140,"Fokken, Kyrsten"
"Edgewood Prairie Crossings Watertown AL, LLC",(605) 882-0911,420 9th Street SE,Watertown,SD,57201,420 9th Street SE,Watertown,SD,57201,10746,Codington,29,"Prokop, Amanda"
Riverview Retirement Home,(605) 734-5447,208 South Alcott,Chamberlain,SD,57325,208 South Alcott,Chamberlain,SD,57325,10751,Brule,10,"Smith, Stana"
Primrose Basic Care and Memory Cottages,(605) 226-4040,1518 Meadowbrook Court,Aberdeen,SD,57401,PO Box 1359,Aberdeen,SD,57402,10754,Brown,30,"Lewis, Teri"
Fountain Springs Assisted Living,(605) 343-3555,2000 Wesleyan Blvd,Rapid City,SD,57702-9340,2000 Wesleyan Blvd,Rapid City,SD,57702-9340,10757,Pennington,10,"Harvey, Kristine"
Fairmont Grand Senior Care,(605) 399-1551,409 E Fairlane Dr,Rapid City,SD,57701-7207,409 E Fairlane Dr,Rapid City,SD,57701-2313,10760,Pennington,16,"Phillips-Interim, Marie"
Prairie View Assisted Living Center,(605) 778-6711,313 S Water St,Kimball,SD,57355-9333,313 S Water St,Kimball,SD,57355-9333,10762,Brule,16,"Banek, Virginia"
Touchmark at All Saints,(605) 335-1117,111 West 17th,Sioux Falls,SD,57104-4939,111 West 17th,Sioux Falls,SD,57104,10767,Minnehaha,157,"Snoozy, Amanda"
Helping Hand Assisted Living,(605) 582-7939,1000 Teakwood,Brandon,SD,57005-0916,PO Box 916,Brandon,SD,57005-0916,10769,Minnehaha,68,"McElwain, Christina"
Fairmont Grand Senior Care,(605) 399-1551,405 E Fairlane Dr.,Rapid City,SD,57701,405 E Fairlane Dr.,Rapid City,SD,57701,10771,Pennington,16,"Phillips- Interim, Marie"
Fairmont Grand Senior Care,(605) 399-1551,413 E Fairlane Dr,Rapid City,SD,57701-7207,413 E Fairlane Dr,Rapid City,SD,57701,11034,Pennington,16,"Phillips- Interim, Marie"
The Victorian Assisted Living,(605) 342-1913,1321 Columbus St.,Rapid City,SD,57701-2538,1321 Columbus St.,Rapid City,SD,57701-2538,11035,Pennington,48,"McGaugh, Debra"
Pioneer Inn,(605) 326-5161,315 N Washington,Viborg,SD,57070-0368,PO Box 368,Viborg,SD,57070-0368,11036,Turner,12,"Hauger, Lindsey"
Angelhaus East,(605) 665-7255,2905 Douglas Ave,Yankton,SD,57078,2905 Douglas Ave,Yankton,SD,57078,11037,Yankton,36,"Eskins, Misty"
Fay Wookey Memorial Assisted Living Center,(605) 532-5799,700 N Smith,Clark,SD,57225-1120,700 N Smith,Clark,SD,57225-1120,11038,Clark,30,"Wookey, Gayle"
Bethesda Towne Square,(605) 225-7600,1425 15th Ave SE,Aberdeen,SD,57401-7754,1425 15th Ave SE,Aberdeen,SD,57401-7754,11040,Brown,52,"Sommers, Gina"
Spruce Court,(605) 448-2412,413 9th St,Britton,SD,57430-2274,413 9th St,Britton,SD,57430-2274,11042,Marshall,25,"Fosness, Nick"
Roetell Senior Housing,(605) 532-5430,108 S Smith,Clark,SD,57225-1627,108 S Smith,Clark,SD,57225-1627,11043,Clark,15,"Wookey, Holly"
Parkview Apartments Assisted Living,(605) 267-2081,515 Ohio St,Wakonda,SD,57073-0327,515 Ohio St,Wakonda,SD,57073-0327,11048,Clay,7,"Stockland, Robin"
Garden Hills Assisted Living,(605) 642-0404,905 S 34th St,Spearﬁsh,SD,57783,905 S 34th St,Spearﬁsh,SD,57783,11051,Lawrence,16,"Derosier, Kimberly"
Bethel Suites,(605) 256-4539,911 S Egan Ave,Madison,SD,57042,1001 S Egan Ave,Madison,SD,57042,11053,Lake,16,"Johnson, Chuck"
Edgewood Greenleaf Brookings LLC,(605) 692-6311,2015 8th St S,Brookings,SD,57006-3506,2015 8th St S,Brookings,SD,57006-3506,11055,Brookings,50,"Cogdill, Autumn"
Sandstone Senior Living,(605) 642-4910,2010 Windmill Drive,Spearﬁsh,SD,57783,2010 Windmill Drive,Spearﬁsh,SD,57783,11062,Lawrence,30,"Pierce, Connie"
Edgewood Watertown MC 2 LLC,(605) 882-3084,225 14th Ave NE,Watertown,SD,57201,225 14th Ave NE,Watertown,SD,57201,11064,Codington,16,"Prokop, Amanda"
Springﬁeld Assisted Living Center,(605) 369-5445,701 Pine St,Springﬁeld,SD,57062-2129,701 Pine St,Springﬁeld,SD,57062-2129,11066,Bon Homme,36,"Hrbek, Leah"
The Silverleaf,(605) 859-3434,519 W Pine St,Philip,SD,57567-0818,PO Box 818,Philip,SD,57567-0818,11069,Haakon,16,"McLaughlin, Julie"
