License Number,Facility Name,County,Address,Capacity
353,"Abe's Garden/Park Manor
Apartments",Davidson,"115 Woodmont Blvd
Nashville, TN 37205",64
169,Adams Place,Rutherford,"1927 Memorial Blvd
Murfreesboro, TN 37129",149
444,Alexander Guest House,Anderson,"83 Kentucky Ave
Oak Ridge, TN 37830",74
21,Alexandria Place,Madison,"108 Physicians Drive
Jackson, TN 38305",50
387,Alexian Village of Tennessee,Hamilton,"622 Alexian Way
Signal Mountain, TN 37377",70
301,"Apple Grove Alzheimer's &
Dementia Residence",Shelby,"3575 Hacks Cross Rd
Memphis, TN 38125",49
18,Arbor Terrace of Knoxville,Knox,"9051 Cross Park Dr
Knoxville, TN 37923",99
458,Arcadia Senior Living Clarksville,Montgomery,"175 Chesapeake Dr
Clarksville, TN 37040",79
195,Asbury Cove,Lauderdale,"315 Asbury Ave
Ripley, TN 38063",38
33,Asbury Place at Steadman Hill,Sullivan,"1300 Bloomingdale Pike
Kingsport, TN 37660",58
224,Asbury Place Maryville,Blount,"2648 Sevierville Rd
Maryville, TN 37804",143
226,Assisted Living at Standifer Place,Hamilton,"2636 Walker Road
Chattanooga, TN 37421",74
34,Assisted Living at Trezevant,Shelby,"177 N Highland Ave
Memphis, TN 38111",151
149,Athens Place,McMinn,"120 Keith Lane
Athens, TN 37303",60
100,Atria Weston Place,Knox,"2900 Lake Brook Blvd
Knoxville, TN 37909",102
108,Austin Hewitt House,Giles,"322 East Washington St
Pulaski, TN 38478",54
310,Autumn Care,Knox,"3222 Byington Beaver Ridge Rd
Knoxville, TN 37931",36
382,Autumn Care II,Knox,"136 Canton Hollow Rd
Knoxville, TN 37922",56
459,Autumn Care III,Knox,"400 Herron Rd
Farragut, TN 37984",77
113,Autumn Oaks,Coffee,"1621 McMinnville Hwy
Manchester, TN 37355",49
56,Ave Maria Home Assisted Living,Shelby,"2805 Charles Bryan Rd
Bartlett, TN 38134",101
348,Avenir Memory Care at Knoxville,Knox,"901 Concord Rd
Farragut, TN 37934",62
83,Azalea Court,Rutherford,"207 Commerce Dr
Smyrna, TN 37167",62
390,Azalea Trace Assisted Living,Davidson,"4107 Gallatin Road
Nashville, TN 37216",65
261,Bailey Manor,Lincoln,"113 Medical Center Blvd
Fayetteville, TN 37334",24
262,Bailey Manor,Franklin,"300 Hospital Rd
Winchester, TN 37398",24
268,Bailey Manor,Coffee,"1707 McMinnville Hwy
Manchester, TN 37355",24
465,Bailey Manor,Putnam,"580 East Veteran's Blvd
Cookeville, TN 38501",24
175,Barton House,Davidson,"6961 US Hwy 70 S
Nashville, TN 37221",44
457,Beehives Homes of Powell,Knox,"1301 W Beaver Creek Dr
Powell, TN 37849",16
57,Bells Assisted Care Living,Crockett,"276 Herndon Drive
Bells, TN 38006",20
230,Bellwood Assisted Living,Wilson,"3190 Carthage Highway
Lebanon, TN 37087",40
59,Belmont Village,Davidson,"4206 Stammer Pl
Nashville, TN 37215",160
102,Belmont Village,Shelby,"6605 Quail Hollow Rd
Memphis, TN 38120",120
157,Belvedere Commons of Franklin,Williamson,"303 S Royal Oaks Blvd
Franklin, TN 37064",99
227,Boyd Cottages Assisted Living,Wayne,"210 Fairlane Dr
Waynesboro, TN 38485",34
103,Brighton Gardens of Brentwood,Williamson,"103 Arcaro Pl
Brentwood, TN 37027",125
199,Brookdale Belle Meade,Davidson,"6767 Brookmont Terrace
Nashville, TN 37205",184
95,Brookdale Browns Creek,Blount,"1869 Crest Rd
Maryville, TN 37804",52
47,Brookdale Clarksville,Montgomery,"2183 Memorial Dr
Clarksville, TN 37043",54
326,Brookdale Cleveland,Bradley,"2745 Executive Park NW
Cleveland, TN 37312",60
