License #,Facility Name,County,Address,Region,Initial Date,Total Bed Count,Number of Secured Beds,Adult Day Care Services Beds
353,"Abe's Garden/Park Manor
Apartments",Davidson,"115 Woodmont Blvd
Nashville, TN 37205",Middle,41135,64,42,25
169,Adams Place,Rutherford,"1927 Memorial Blvd
Murfreesboro, TN 37129",Middle,36321,149,25,0
444,Alexander Guest House,Anderson,"83 Kentucky Ave
Oak Ridge, TN 37830",East,42324,74,17,0
21,Alexandria Place,Madison,"108 Physicians Drive
Jackson, TN 38305",West,35977,50,0,0
387,Alexian Village of Tennessee,Hamilton,"622 Alexian Way
Signal Mountain, TN 37377",East,41912,70,19,0
301,"Apple Grove Alzheimer's &
Dementia Residence",Shelby,"3575 Hacks Cross Rd
Memphis, TN 38125",West,39890,49,49,30
18,Arbor Terrace of Knoxville,Knox,"9051 Cross Park Dr
Knoxville, TN 37923",East,35978,99,30,0
458,Arcadia Senior Living Clarksville,Montgomery,"175 Chesapeake Dr
Clarksville, TN 37040",West,43255,79,16,0
195,Asbury Cove,Lauderdale,"315 Asbury Ave
Ripley, TN 38063",West,36710,38,0,0
33,Asbury Place at Steadman Hill,Sullivan,"1300 Bloomingdale Pike
Kingsport, TN 37660",East,35999,58,14,0
224,Asbury Place Maryville,Blount,"2648 Sevierville Rd
Maryville, TN 37804",East,37053,143,52,0
226,Assisted Living at Standifer Place,Hamilton,"2636 Walker Road
Chattanooga, TN 37421",East,36969,74,0,10
34,Assisted Living at Trezevant,Shelby,"177 N Highland Ave
Memphis, TN 38111",West,36000,151,28,0
149,Athens Place,McMinn,"120 Keith Lane
Athens, TN 37303",East,36103,60,15,0
100,Atria Weston Place,Knox,"2900 Lake Brook Blvd
Knoxville, TN 37909",East,36137,102,19,0
108,Austin Hewitt House,Giles,"322 East Washington St
Pulaski, TN 38478",West,36112,54,0,0
310,Autumn Care,Knox,"3222 Byington Beaver Ridge Rd
Knoxville, TN 37931",East,40147,36,0,0
382,Autumn Care II,Knox,"136 Canton Hollow Rd
Knoxville, TN 37922",East,41397,56,0,0
459,Autumn Care III,Knox,"400 Herron Rd
Farragut, TN 37984",East,43278,77,16,0
113,Autumn Oaks,Coffee,"1621 McMinnville Hwy
Manchester, TN 37355",East,36318,49,0,0
56,Ave Maria Home Assisted Living,Shelby,"2805 Charles Bryan Rd
Bartlett, TN 38134",West,36592,101,15,0
348,Avenir Memory Care at Knoxville,Knox,"901 Concord Rd
Farragut, TN 37934",East,41394,62,62,0
83,Azalea Court,Rutherford,"207 Commerce Dr
Smyrna, TN 37167",Middle,36063,62,20,0
390,Azalea Trace Assisted Living,Davidson,"4107 Gallatin Road
Nashville, TN 37216",Middle,41368,65,0,0
261,Bailey Manor,Lincoln,"113 Medical Center Blvd
Fayetteville, TN 37334",West,38531,24,24,2
262,Bailey Manor,Franklin,"300 Hospital Rd
Winchester, TN 37398",East,38656,24,24,0
268,Bailey Manor,Coffee,"1707 McMinnville Hwy
Manchester, TN 37355",East,38797,24,24,0
465,Bailey Manor,Putnam,"580 East Veteran's Blvd
Cookeville, TN 38501",East,42955,24,24,0
175,Barton House,Davidson,"6961 US Hwy 70 S
Nashville, TN 37221",Middle,36808,44,44,8
457,Beehives Homes of Powell,Knox,"1301 W Beaver Creek Dr
Powell, TN 37849",East,43238,16,0,0
57,Bells Assisted Care Living,Crockett,"276 Herndon Drive
Bells, TN 38006",West,36251,20,0,0
230,Bellwood Assisted Living,Wilson,"3190 Carthage Highway
Lebanon, TN 37087",Middle,37073,40,0,0
59,Belmont Village,Davidson,"4206 Stammer Pl
Nashville, TN 37215",Middle,36427,160,24,0
102,Belmont Village,Shelby,"6605 Quail Hollow Rd
Memphis, TN 38120",West,36535,120,24,0
157,Belvedere Commons of Franklin,Williamson,"303 S Royal Oaks Blvd
Franklin, TN 37064",West,36616,99,57,0
227,Boyd Cottages Assisted Living,Wayne,"210 Fairlane Dr
Waynesboro, TN 38485",West,37438,34,0,0
103,Brighton Gardens of Brentwood,Williamson,"103 Arcaro Pl
Brentwood, TN 37027",West,36111,125,25,0
199,Brookdale Belle Meade,Davidson,"6767 Brookmont Terrace
Nashville, TN 37205",Middle,36655,184,57,0
95,Brookdale Browns Creek,Blount,"1869 Crest Rd
Maryville, TN 37804",East,36090,52,18,0
47,Brookdale Clarksville,Montgomery,"2183 Memorial Dr
Clarksville, TN 37043",West,36020,54,54,0
326,Brookdale Cleveland,Bradley,"2745 Executive Park NW
Cleveland, TN 37312",East,39995,60,0,0
148,Brookdale Colonial Heights,Sullivan,"400 Professional Park Dr
Kingsport, TN 37663",East,36105,60,25,0
139,Brookdale Columbia,Maury,"5011 Trotwood Ave
Columbia, TN 38401",West,36238,55,0,0
352,Brookdale Dogwood Creek,Shelby,"8199 Poplar Ave
Germantown, TN 38138",West,41465,60,26,0
140,Brookdale Gallatin,Sumner,"400 Hancock Road
Gallatin, TN 37066",Middle,36133,74,0,0
73,Brookdale Germantown,Shelby,"7701 Poplar Ave
Germantown, TN 38138",West,36195,54,0,0
86,Brookdale Goodlettsville,Sumner,"2025 Caldwell Drive
Goodlettsville, TN 37072",Middle,36063,55,0,0
178,Brookdale Goodlettsville,Sumner,"3001 Business Park Cir
Goodlettsville, TN 37072",Middle,36455,40,40,0
294,Brookdale Green Hills Cumberland,Davidson,"15 Burton Hills Blvd
Nashville, TN 37215",Middle,39287,149,17,0
151,Brookdale Greeneville,Greene,"155 Serral Dr
Greeneville, TN 37743",East,36353,60,13,0
327,Brookdale Hixson,Hamilton,"2515 Hixson Pike
Hixson, TN 37343",East,39995,50,0,0
