License Number,Facility Name,County,Address,Capacity,State Facility Type 1 Literal,Date Accessed,City,Zip Code,State
330,Alexian Brothers Valley Residence,Hamilton,1164 MOUNTAIN CREEK RD,42,RESIDENTIAL HOME FOR THE AGED,6/30/21,Chattanooga,37405,TN
507,Alternative Care,Davidson,525 GALESBURG CT,6,RESIDENTIAL HOME FOR THE AGED,6/30/21,Nashville,37217,TN
608,Ashley'S Total Home Care,Shelby,1741 HOLMAN AVE,6,RESIDENTIAL HOME FOR THE AGED,6/30/21,Memphis,38114,TN
53,Autumn Ridge Manor,Dickson,1815 OLD COUNTRY HOUSE RD,11,RESIDENTIAL HOME FOR THE AGED,6/30/21,White Bluff,37187,TN
435,Bradshaw Personal Care Home,Shelby,1361 MALLORY AVE,8,RESIDENTIAL HOME FOR THE AGED,6/30/21,Memphis,38106,TN
27,Brooks Family Care,Davidson,926 JACKSON ST,8,RESIDENTIAL HOME FOR THE AGED,6/30/21,Nashville,37208,TN
519,Candlelite One,Bedford,1042 MORTON ST,6,RESIDENTIAL HOME FOR THE AGED,6/30/21,Shelbyville,37160,TN
389,Canterbury Place,Dyer,900 HWY 51 BYPASS N,36,RESIDENTIAL HOME FOR THE AGED,6/30/21,Dyersburg,38024,TN
551,Carmen'S Home Care,Shelby,5322 ADNEY GAPE COVE,6,RESIDENTIAL HOME FOR THE AGED,6/30/21,Memphis,38134,TN
98,Cecil Residential Home,Knox,2020 CECIL AVE,6,RESIDENTIAL HOME FOR THE AGED,6/30/21,Knoxville,37917,TN
419,Courtyard Assisted Living,Rhea,195 DEER RIDGE DR,16,RESIDENTIAL HOME FOR THE AGED,6/30/21,Dayton,37321,TN
278,Covenant Manor,Lincoln,109 BRIGHT AVE,21,RESIDENTIAL HOME FOR THE AGED,6/30/21,Fayetteville,37334,TN
95,Darby House,Jefferson,249 E BROADWAY BLVD,38,RESIDENTIAL HOME FOR THE AGED,6/30/21,Jefferson City,37760,TN
73,Davis Home For The Aged Ii,Hamilton,4629 KIRKLAND AVE,14,RESIDENTIAL HOME FOR THE AGED,6/30/21,Chattanooga,37410,TN
291,Davis Home For The Aged Iii,Hamilton,1106 DUNCAN AVE,27,RESIDENTIAL HOME FOR THE AGED,6/30/21,Chattanooga,37404,TN
577,Elite Elderly Care,Sumner,101 DALE AVE,8,RESIDENTIAL HOME FOR THE AGED,6/30/21,Hendersonville,37075,TN
23,Fairfield Glade Assisted Living,Cumberland,637 WOODGATE DR,28,RESIDENTIAL HOME FOR THE AGED,6/30/21,Crossville,38558,TN
272,Fannie B Manor,Warren,521 PIKE HILL RD,11,RESIDENTIAL HOME FOR THE AGED,6/30/21,Mcminnville,37110,TN
603,Friendship Haven,Hamilton,950 DODSON AVE,16,RESIDENTIAL HOME FOR THE AGED,6/30/21,Chattanooga,37406,TN
630,Front Porch Senior Living,Sumner,115 SUNSET PLACE,6,RESIDENTIAL HOME FOR THE AGED,6/30/21,Portland,37148,TN
238,Golden Years Retirement Resort,Rhea,301 KEITH DR,21,RESIDENTIAL HOME FOR THE AGED,6/30/21,Spring City,37381,TN
617,Grace House,Rutherford,2334 FLOYD AVE,6,RESIDENTIAL HOME FOR THE AGED,6/30/21,Murfreesboro,37127,TN
62,Harlan Morris - A Retirement Community Of St. John'S Community Services,Gibson,"400 HARLAN MORRIS DR TRENTON, TN 38382",39,RESIDENTIAL HOME FOR THE AGED,6/30/21,,,TN
250,Heritage Assisted Living,Knox,1585 COLEMAN RD,24,RESIDENTIAL HOME FOR THE AGED,6/30/21,Knoxville,37909,TN
288,Heritage Assisted Living,Knox,144 FELIX RD,28,RESIDENTIAL HOME FOR THE AGED,6/30/21,Knoxville,37918,TN
141,Heritage Senior Living Home,Rhea,141 COUCHWOOD DR,11,RESIDENTIAL HOME FOR THE AGED,6/30/21,Dayton,37321,TN
76,Hickory Valley Retirement Center,Hamilton,6705 BALLARD DR,15,RESIDENTIAL HOME FOR THE AGED,6/30/21,Chattanooga,37421,TN
