License Number,Facility Name,County,Address,Capacity
330,"Alexian Brothers Valley
Residence",Hamilton,"1164 Mountain Creek Rd
Chattanooga, TN 37405",42
507,Alternative Care,Davidson,"525 Galesburg Ct
Nashville, TN 37217",6
608,Ashley's Total Home Care,Shelby,"1741 Holman Ave
Memphis, TN 38114",6
53,Autumn Ridge Manor,Dickson,"1815 Old Country House Rd
White Bluff, TN 37187",11
435,"Bradshaw Personal Care
Home",Shelby,"1361 Mallory Ave
Memphis, TN 38106",8
27,Brooks Family Care,Davidson,"926 Jackson St
Nashville, TN 37208",8
519,Candlelite One,Bedford,"1042 Morton St
Shelbyville, TN 37160",6
389,Canterbury Place,Dyer,"900 Hwy 51 Bypass N
Dyersburg, TN 38024",36
551,Carmen's Home Care,Shelby,"5322 Adney Gape Cove
Memphis, TN 38134",6
98,Cecil Residential Home,Knox,"2020 Cecil Ave
Knoxville, TN 37917",6
419,Courtyard Assisted Living,Rhea,"195 Deer Ridge Dr
Dayton, TN 37321",16
278,Covenant Manor,Lincoln,"109 Bright Ave
Fayetteville, TN 37334",21
95,Darby House,Jefferson,"249 E Broadway Blvd
Jefferson City, TN 37760",38
73,Davis Home for the Aged II,Hamilton,"4629 Kirkland Ave
Chattanooga, TN 37410",14
291,Davis Home for the Aged III,Hamilton,"1106 Duncan Ave
Chattanooga, TN 37404",27
577,Elite Elderly Care,Sumner,"101 Dale Ave
Hendersonville, TN 37075",8
23,"Fairfield Glade Assisted
Living",Cumberland,"637 Woodgate Dr
Crossville, TN 38558",28
272,Fannie B Manor,Warren,"521 Pike Hill Rd
McMinnville, TN 37110",11
603,Friendship Haven,Hamilton,"950 Dodson Ave
Chattanooga, TN 37406",16
630,Front Porch Senior Living,Sumner,"115 Sunset Place
Portland, TN 37148",6
238,"Golden Years Retirement
Resort",Rhea,"301 Keith Dr
Spring City, TN 37381",21
617,Grace House,Rutherford,"2334 Floyd Ave
Murfreesboro, TN 37127",6
62,"Harlan Morris - A Retirement Community of St. John's Community
Services",Gibson,"400 Harlan Morris Dr Trenton, TN 38382",39
250,Heritage Assisted Living,Knox,"1585 Coleman Rd
Knoxville, TN 37909",24
288,Heritage Assisted Living,Knox,"144 Felix Rd
Knoxville, TN 37918",28
141,Heritage Senior Living Home,Rhea,"141 Couchwood Dr
Dayton, TN 37321",11
76,"Hickory Valley Retirement
Center",Hamilton,"6705 Ballard Dr
Chattanooga, TN 37421",15
452,Jenn Care,Shelby,"5347 Dunnellon Ave
Memphis, TN 38134",7
396,Lakeshore Heartland,Davidson,"3025 Fernbrook Ln
Nashville, TN 37214",20
60,Laurel Oaks,Franklin,"4884 Old Tullahoma Hwy
Winchester, TN 37398",12
7,Liberty Assisted Living,Blount,"312 McMaster Place
Maryville, TN 37801",28
158,Loving Arms of Memphis,Shelby,"667 Bethel Ave
Memphis, TN 38107",7
399,Meadows,Davidson,"8044 Coley Davis Rd
Nashville, TN 37221",20
465,Mighty Hearts Home Care,Sumner,"1005 Hwy 52 E
Portland, TN 37148",12
182,"Minter Residential Home for
the Aged",Shelby,"519 Loraine Dr
Memphis, TN 38109",14
31,"Northpark Village Senior
Living",Davidson,"700 N Dupont Ave
Madison, TN 37115",24
514,Oak Hill Senior Living,Sumner,"639 N Broadway
Portland, TN 37148",14
236,Park Terrace Assisted Living,Obion,"712 Broadway St
South Fulton, TN 38257",36
144,Patriot Hills Assisted Living,Roane,"209 Gum Hollow Rd
Oak Ridge, TN 38830",25
624,"Peaceful Village Residential
Home",Trousdale,"124 Lock Six Rd
Hartsville, TN 37074",6
202,"Pineview Boarding Home for
the Aged #2",Trousdale,"714 Gwinn St
Hartsville, TN 37074",5
203,"Pineview Boarding Home for
the Aged #3",Trousdale,"725 Gwinn St
Hartsville, TN 37074",33
475,River Oaks Place Building II,Loudon,"100 Fifth Ave
Lenoir City, TN 37771",49
406,"Shannondale Retirement
Home",Knox,"801 Vanosdale Rd
Knoxville, TN 37909",113
331,"Southern Heritage Assisted
Living I",Hamilton,"5310 Clemons Rd
East Ridge, TN 37412",32
497,"Southern Heritage Assisted
Living II",Hamilton,"5310 Clemons Rd
East Ridge, TN 37412",32
86,"Southern Oaks Assisted
Living",Hamilton,"7230 Lee Highway
Chattanooga, TN 37421",28
587,Sunrise Home Care,Davidson,"8084 Sawyer Brown Rd
Nashville, TN 37221",4
134,Waterford in Sango,Montgomery,"300 Sango Dr
Clarksville, TN 37043",11
424,Wesley Fountain Place,Gibson,"12410 Telecom Rd
Milan, TN 38358",36
257,Willow Acres,McMinn,"255 Country Rd 730
Riceville, TN 37370",9
562,Willow Acres Building 2,McMinn,"253 Country Rd 730
Riceville, TN 37370",9
