Facility ID,State Facility Type 2 Literal,Facility Name,Address,City,State,Zip Code,County,Capacity,License Number,Phone Number,Email Address,Licensee,Ownership Type,Date Accessed,State Facility Type 1 Literal
UT000146,AL2,Abbington Manor Al Ii,215 NORTH CENTER STREET,Lehi,UT,84043,Utah,33,2020-ALII-104071,(801) 768-3900,rwalker@theabbington.com,"LEHI ALOP, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207237,AL2,Abbington Manor Memory Care,855 WEST 1500 NORTH,Lehi,UT,84043,Utah,16,2020-ALII-104060,(801) 768-3900,ed@abbingtonlehi.com,"LEHI ALOP, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207323,AL2,Alta Ridge - Sandy Al,1360 EAST 9400 SOUTH,Sandy,UT,84093,Salt Lake,46,2020-ALII-UT207323,(801) 571-1010,kaylyn@altaridgeassistedliving.com,"MRSC UT SANDY AL MASTER TENANT, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207322,AL2,Alta Ridge-Sandy Mc,1375 EAST 9400 SOUTH,Sandy,UT,84093,Salt Lake,31,2020-ALII-UT207322,(801) 523-0384,trevor@altaridgeassistedliving.com,"MRSC UT SANDY MC MASTER TENANT, LLC",FOR PROFIT-PAR,7/6/21,ASSISTED LIVING FACILITY
UT207227,AL2,Apple Village Assisted Living,2600 EAST HOBBS VIEW CIRCLE,Layton,UT,84040,Davis,90,2020-ALII-954,(801) 771-2525,john@senis.com,APPLE VILLAGE ASSISTED LIVING,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000759,AL2,Ashford Assisted Living & Memory Care Of Springvil,333 SOUTH 950 WEST,Springville,UT,84663,Utah,95,2020-ALII-UT000759,(801) 489-1940,riley@ashfordutah.com,"COWHORN, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000876,AL2,"Ashford Memory Care, Inc",14178 SOUTH BANGERTER PARKWAY,Draper,UT,84020,Salt Lake,90,2020-ALII-UT000876,(801) 523-1600,jace@ashfordutah.com,"ASHFORD MEMORY CARE, INC.",,7/6/21,ASSISTED LIVING FACILITY
UT000600,AL2,"Aspen Park Assisted Living, Llc",2325 MADISON AVENUE,Ogden,UT,84401,Weber,40,2021-ALII-UT000600,(801) 399-5846,admin.aspenpar@appianmanagement.com,"ASPEN PARK INVESTMENT, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000711,AL2,Autumn Care 2 Living Center,280 EAST 4000 NORTH,Hyde Park,UT,84318,Cache,16,2020-ALII-UT000711,(435) 563-3333,autumncare1@gmail.com,AUTUMN CARE LIVING CENTER,NON PROFIT-COR,7/6/21,ASSISTED LIVING FACILITY
UT000673,AL2,Autumn Care Living Center,290 EAST 4000 NORTH,Hyde Park,UT,84318,Cache,16,2020-ALII-UT000673,(435) 563-3333,autumncare1@gmail.com,"AUTUMN CARE LIVING CENTER, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000820,AL2,Autumn Park Assisted Living Llc,548 NORTH 1100 EAST,Washington,UT,84780,Washington,16,2021-ALII-UT000820,(435) 275-4458,chrisjholub@gmail.com,AUTUMN PARK ASSISTED LIVING LLC,FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT207344,AL2,Avamere At Mountain Ridge,1885 EAST SKYLINE DRIVE,South Ogden,UT,84403,Weber,119,2020-ALII-UT207344,(801) 475-5111,jdelvecchio@avamere.com,"ARI CBC, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000751,AL2,Barrington Place Alzheimer'S Special Care Center,1404 NORTH 2000 WEST,Clinton,UT,84015,Davis,66,2020-ALII-UT000751,(801) 525-9177,dale.parker@jeaseniorliving.com,"SHI BARRINGTON PLACE, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000836,AL2,"Beacon Crest Management Of Draper, Llc",591 EAST PIONEER ROAD,Draper,UT,84020,Salt Lake,25,2019-ALII-UT000836,(801) 951-1300,davidm@beaconcrest.com,"BEACON CREST MANAGEMENT, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000339,AL2,Beehive Homes Of American Fork South Building Two,164 WEST 200 SOUTH,American Fork,UT,84003,Utah,16,2021-ALII-104705,(801) 216-4110,carrie.brown@welbrook.com,"TIMPANOGOS TERRACE ASSISTED LIVING, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
UT000798,AL2,Beehive Homes Of Cedar City #3,432 WEST 1325 NORTH,Cedar City,UT,84721,Iron,30,2020-ALII-UT000798,(435) 867-8641,acarlile@beehivehomes.com,"VAN DORN LAND HOLDINGS, LLC",FOR PROFIT - C,7/6/21,ASSISTED LIVING FACILITY
