Facility ID,State Facility Type 1 Literal,Facility Name,Address,City,State,Zip,County,Capacity,License Number,Phone Number,Email Address,Licensee,Ownership Type
UT000146,AL2,ABBINGTON MANOR AL II,215 NORTH CENTER STREET,LEHI,UT,84043,UTAH,33,2020-ALII-104071,(801) 768-3900,rwalker@theabbington.com,"LEHI ALOP, LLC",FOR PROFIT - C
UT207237,AL2,ABBINGTON MANOR MEMORY CARE,855 WEST 1500 NORTH,LEHI,UT,84043,UTAH,16,2020-ALII-104060,(801) 768-3900,ed@abbingtonlehi.com,"LEHI ALOP, LLC",FOR PROFIT - C
UT207323,AL2,ALTA RIDGE - SANDY AL,1360 EAST 9400 SOUTH,SANDY,UT,84093,SALT LAKE,46,2020-ALII-UT207323,(801) 571-1010,kaylyn@altaridgeassistedliving.com,"MRSC UT SANDY AL MASTER TENANT, LLC",FOR PROFIT - C
UT207322,AL2,ALTA RIDGE-SANDY MC,1375 EAST 9400 SOUTH,SANDY,UT,84093,SALT LAKE,31,2020-ALII-UT207322,(801) 523-0384,trevor@altaridgeassistedliving.com,"MRSC UT SANDY MC MASTER TENANT, LLC",FOR PROFIT-PAR
UT207227,AL2,APPLE VILLAGE ASSISTED LIVING,2600 EAST HOBBS VIEW CIRCLE,LAYTON,UT,84040,DAVIS,90,2020-ALII-954,(801) 771-2525,John@senis.com,APPLE VILLAGE ASSISTED LIVING,FOR PROFIT - C
UT000759,AL2,ASHFORD ASSISTED LIVING & MEMORY CARE OF SPRINGVIL,333 SOUTH 950 WEST,SPRINGVILLE,UT,84663,UTAH,95,2020-ALII-UT000759,(801) 489-1940,riley@ashfordutah.com,"COWHORN, LLC",FOR PROFIT - C
UT000876,AL2,"ASHFORD MEMORY CARE, INC",14178 SOUTH BANGERTER PARKWAY,DRAPER,UT,84020,SALT LAKE,90,2020-ALII-UT000876,(801) 523-1600,jace@ashfordutah.com,"ASHFORD MEMORY CARE, INC.",
UT000600,AL2,"ASPEN PARK ASSISTED LIVING, LLC",2325 MADISON AVENUE,OGDEN,UT,84401,WEBER,40,2021-ALII-UT000600,(801) 399-5846,admin.aspenpar@appianmanagement.com,"ASPEN PARK INVESTMENT, LLC",FOR PROFIT - C
UT000711,AL2,AUTUMN CARE 2 LIVING CENTER,280 EAST 4000 NORTH,HYDE PARK,UT,84318,CACHE,16,2020-ALII-UT000711,(435) 563-3333,autumncare1@gmail.com,AUTUMN CARE LIVING CENTER,NON PROFIT-COR
UT000673,AL2,AUTUMN CARE LIVING CENTER,290 EAST 4000 NORTH,HYDE PARK,UT,84318,CACHE,16,2020-ALII-UT000673,(435) 563-3333,autumncare1@gmail.com,"AUTUMN CARE LIVING CENTER, LLC",FOR PROFIT - C
