Facid,Mcare ID,Mcaid ID,Type,Name,Address,Address2,City,State,Zip,County,Beds,Certified Beds,Medicare Beds,Medicaid Beds,Dually Certified Beds,ICFID Beds,License Expires,License,Administrator,Telephone,Email,CCN,Parent Company,Type,License Issued
UT46X0009803,46X0009803,9.53E+11,X-RAY,DIAGNOSTIC LABORATORIES,9078 SOUTH 300 WEST,,SANDY,UT,84070,SALT LAKE,0,0,0,0,0,0,,,"WILLIAM GLYNN, Administrator",(801) 268-6637,william.glynn@diaglabs.com,46X0009803,"KAN-DI-KI, LLC",CORPORATION,
UT000599,46X0009811,,X-RAY,PACIFIC MOBILE DIAGNOSTICS,"45 WEST 10000 SOUTH, SUITE 401",,SANDY,UT,84070,SALT LAKE,0,0,0,0,0,0,,,"MR MATTHEW CHURCH, Administrator",(480) 231-7755,,46X0009811,ENSIGN GROUP INC,CORPORATION,
UT000325,46X0009810,,X-RAY,"QUALITY MEDICAL IMAGING OF UTAH, INC",1564 NORTH OVERLAND TRAILS DRIVE,,WASHINGTON,UT,84780,WASHINGTON,0,0,0,0,0,0,,,"MR ROGER FASELT, Administrator",(866) 508-4870,Roger@qualitymedicalimaging.com,46X0009810,"QUALITY MEDICAL IMAGING OF UTAH, INC",CORPORATION,
UT000167,46X0009809,,X-RAY,SCHRYVER MEDICAL SALES & MARKETING INC,9078 SOUTH 300 WEST,,SANDY,UT,84070,SALT LAKE,0,0,0,0,0,0,,,"MR CHRIS CUNNINGHAM, Administrator",(801) 556-3867,,46X0009809,,,
UT000944,,,X-RAY,SYMPHONY DIAGNOSTIC SERVICES NO 1 LLC,"379 NORTH UNIVERSITY AVENUE, SUITE 101",,PROVO,UT,84601,UTAH,0,0,0,0,0,0,,,"MS PATRICE MORLEY, Administrator",(801) 375-2870,shawna.fletcher@tridentcare.com,,,,
UTTH00218,469811,,TH,INTERMOUNTAIN MEDICAL CENTER,5121 SOUTH COTTONWOOD STREET,,MURRAY,UT,84107,SALT LAKE,0,0,0,0,0,0,,,"JOE MOTT, Administrator",(801) 507-7000,Blair.kent@imail.org,469811,,,
UTTH00241,469812,,TH,PRIMARY CHILDRENS MEDICAL CENTER,100 NORTH MEDICAL DRIVE,,SALT LAKE CITY,UT,84113,SALT LAKE,0,0,0,0,0,0,,,", Administrator",(801) 662-6513,shanni.baraki@imail.org,469812,,,
UT000304,469810,,TH,UNIVERSITY OF UTAH HOSPITAL - TC,50 NORTH MEDICAL DRIVE,,SALT LAKE CITY,UT,84132,SALT LAKE,0,0,0,0,0,0,,,"MS KIM PHILLIPS, Administrator",(801) 581-2121,kim.phillips@hsc.utah.edu,469810,,,
UT000112,465156,7.71E+11,SNF/NF,AVALON CARE CENTER-BOUNTIFUL,523 NORTH MAIN STREET,,BOUNTIFUL,UT,84010,DAVIS,122,122,0,0,122,0,7/31/21,2021-NCF-UT000112,"MR ROBERT GRAMSE, Administrator",(801) 951-2273,107_Administrator@avalonhealthcare.com,465156,GUNNISON VALLEY HOSPITAL,GOVERNMENT-HOS,5/28/04
UT0027,465146,2.02E+11,SNF/NF,AVALON VALLEY REHABILITATION,2472 SOUTH 300 EAST,,SALT LAKE CITY,UT,84115,SALT LAKE,140,140,0,0,140,0,7/31/21,2021-NCF-UT0027,"MR JEFFREY BAKER, Administrator",(801) 466-2211,903_administrator@avalonhealthcare.com,465146,GUNNISON VALLEY HOSPITAL,FOR PROFIT - C,3/15/81
