Facility,Capacity,Physical Address,City,State,Zip
Martha Jefferson House,56,"1600 Gordon Avenue,",Charlottesville,VA,22903
The Barrington at Hioaks,200,"350 Hioaks Road,",Richmond,VA,23225
Westminster Canterbury - Richmond,214,"1600 Westbrook Avenue,",Richmond,VA,23227
Essex House,20,"17976 Tidewater Trail,",Tappahannock,VA,22560
HERMITAGE RICHMOND operated by Pinnacle Living,257,"1600 Westwood Avenue,",Richmond,VA,23227
Masonic Home of Virginia,168,"500 Masonic Lane,",Henrico,VA,23223
Brook Haven Rest Home,80,"610 Fourqurean Ln.,",Richmond,VA,23222
Ginter Hall South,85,"11300 Mall Court,",N. Chesterfield,VA,23235
Little Sisters of the Poor in Richmond,40,"1503 Michaels Road,",Richmond,VA,23229
Petersburg Home for Ladies,54,"311 South Jefferson Street,",Petersburg,VA,23803
St. Francis Home,135,"65 West Clopton Street,",Richmond,VA,23225
Aable Rest Home,19,"31 Stoney Point Road,",Cumberland,VA,23040
Mecklenburg House,45,"8535 Highway One South, P.O. Box 249",South Hill,VA,23970
Totty Place,22,"3500 Totty Place,",S. Chesterfield,VA,23803
Tapp Family Home,10,"8106 Rural Point Road,",Mechanicsville,VA,23116
Lakewood Manor Baptist Retirement Community,74,"1900 Lauderdale Drive,",Richmond,VA,23238
Rappahannock Westminster Canterbury,62,"132 Lancaster Drive,",Irvington,VA,22480
Palmer Springs Family Care & Retirement Center,32,"2450 Mineral Springs Road,",Boydton,VA,23917
Pine View Rest Home,60,"621 Academy Lane,",South Hill,VA,23970
St. Mary's Woods,130,"1257 Marywood Lane,",Richmond,VA,23229
Essene Inc.,28,"4332 Worsham Road,",Powhatan,VA,23139
Westminster-Canterbury of the Blue Ridge,59,"250 Pantops Mountain Road,",Charlottesville,VA,22911
Metro Gardens Assisted Living Facility,27,"17 Shore Street,",Petersburg,VA,23803
Chesterfield at Brandermill Woods,91,"2100 Brandermill Parkway,",Midlothian,VA,23112
Humphrey's Retirement Home,30,"3405 Chamberlayne Avenue,",Richmond,VA,23227
The Hamilton West Adult Home,20,"309 W. Washington Street,",Petersburg,VA,23803
Alpha House,34,"811 Thompson Street,",Ashland,VA,23005
Our Lady Of Peace,140,"751 Hillsdale Drive,",Charlottesville,VA,22901
Chamberlin House North,14,"3822 Chamberlayne Avenue,",Richmond,VA,23227
Good Neighbor Village Inc.,24,"8825 Buffin Road,",Richmond,VA,23231
North View Home for Adults,18,"399 Saffold Road,",South Hill,VA,23970
Tiffanie's Manor for Young Adults,140,"115 N. Jefferson Street,",Richmond,VA,23220
