Facility Name,Address,City,Zip Code,County,Phone Number
Cathedral Square Senior Living,3 Cathedral Square,Burlington,5401,Chittenden,802-863-1479
"Converse Home, INC",272 Church Street,Burlington,5401,Chittenden,802-862-0401
Mansfield Place,18 Carmichael Street,Essex Junction,5452,Chittenden,802-871-5808
Margaret Pratt Community,210 Plateau Acres,Bradford,5033,Orange,802-222-5554
Meadows At East Mountain,240 Gables Place,Rutland,5701,Rutland,802-775-3300
Memory Care At Allen Brook,99 Allen Brook Lane,Williston,5495,Chittenden,802-859-8885
The Residence At Otter Creek,350 Lodge Road,Middlebury,5753,Addison,802-388-1220
The Residence At Quarry Hill,465 Quarry Hill Road,South Burlington,5403,Chittenden,802-652-4114
The Residence at Shelburne Bay East,185 Pine Haven Shores Road,Shelburne,5482,Chittenden,802-985-9847
The Village at White River Junction,101 Currier Street,White River Junction,5001,Windsor,802-295-7500
Valley Terrace,2820 Christian Street,White River Junction,5001,Windsor,802-280-1910
Vernon Assisted Living Residence,13 Greenway Drive,Vernon,5354,Windham,802-254-8091
"Village At Cedar Hill, INC.",92 Cedar Hill Drive,Windsor,5089,Windsor,802-674-2254
Vista Senior Living,103 US Route 4,Killington,5751,Rutland,802-772-7118
West River Valley Assisted Living Residence,461 Grafton Road,Townshend,5353,Windham,802-365-7190
Woodstock Terrace,456 Woodstock Road,Woodstock,5091,Windsor,802-457-2228
