Facility Name,Facility Physical Address,Facility Physical Town,Facility Physical Zip,Facility Physical County,Phone Number,Fax Number,Designated Dementia/Memory Care,ACCS,ERC
Cathedral Square Senior Living,3 Cathedral Square,Burlington,05401,Chittenden,802-863-1479,802-865-4152,No,Yes,Yes
"Converse Home, INC",272 Church Street,Burlington,05401,Chittenden,802-862-0401,802-864-4932,Yes,Yes,Yes
Mansfield Place,18 Carmichael Street,Essex Junction,05452,Chittenden,802-871-5808,802-662-4448,Yes,Yes,Yes
Margaret Pratt Community,210 Plateau Acres,Bradford,05033,Orange,802-222-5554,802-992-1980,Yes,Yes,Yes
Meadows At East Mountain,240 Gables Place,Rutland,05701,Rutland,802-775-3300,802-770-5290,Yes,Yes,Yes
Memory Care At Allen Brook,99 Allen Brook Lane,Williston,05495,Chittenden,802-859-8885,802-871-7146,Yes,Yes,Yes
The Residence At Otter Creek,350 Lodge Road,Middlebury,05753,Addison,802-388-1220,802-985-1438,Yes,No,No
The Residence At Quarry Hill,465 Quarry Hill Road,South Burlington,05403,Chittenden,802-652-4114,802-652-4122,Yes,No,No
The Residence at Shelburne Bay East,185 Pine Haven Shores Road,Shelburne,05482,Chittenden,802-985-9847,802-985-1438,No,No,No
The Village at White River Junction,101 Currier Street,White River Junction,05001,Windsor,802-295-7500,802-735-9955,Yes,No,No
Valley Terrace,2820 Christian Street,White River Junction,05001,Windsor,802-280-1910,802-295-0850,Yes,Yes,Yes
Vernon Assisted Living Residence,13 Greenway Drive,Vernon,05354,Windham,802-254-8091,802-254-5345,No,Yes,Yes
"Village At Cedar Hill, INC.",92 Cedar Hill Drive,Windsor,05089,Windsor,802-674-2254,802-674-6482,Yes,Yes,Yes
Vista Senior Living,103 US Route 4,Killington,05751,Rutland,802-772-7118,802-772-7121,Yes,Yes,No
West River Valley Assisted Living Residence,461 Grafton Road,Townshend,05353,Windham,802-365-7190,802-365-7601,No,Yes,Yes
Woodstock Terrace,456 Woodstock Road,Woodstock,05091,Windsor,802-457-2228,802-457-8375,Yes,Yes,Yes
