Facility Name,Address,City,Zip Code,County,Phone Number,State Facility Type 1 Literal,State
Cathedral Square Senior Living,3 CATHEDRAL SQUARE,Burlington,5401,Chittenden,802-863-1479,ASSISTED LIVING RESIDENCE,VT
"Converse Home, Inc",272 CHURCH STREET,Burlington,5401,Chittenden,802-862-0401,ASSISTED LIVING RESIDENCE,VT
Mansfield Place,18 CARMICHAEL STREET,Essex Junction,5452,Chittenden,802-871-5808,ASSISTED LIVING RESIDENCE,VT
Margaret Pratt Community,210 PLATEAU ACRES,Bradford,5033,Orange,802-222-5554,ASSISTED LIVING RESIDENCE,VT
Meadows At East Mountain,240 GABLES PLACE,Rutland,5701,Rutland,802-775-3300,ASSISTED LIVING RESIDENCE,VT
Memory Care At Allen Brook,99 ALLEN BROOK LANE,Williston,5495,Chittenden,802-859-8885,ASSISTED LIVING RESIDENCE,VT
The Residence At Otter Creek,350 LODGE ROAD,Middlebury,5753,Addison,802-388-1220,ASSISTED LIVING RESIDENCE,VT
The Residence At Quarry Hill,465 QUARRY HILL ROAD,South Burlington,5403,Chittenden,802-652-4114,ASSISTED LIVING RESIDENCE,VT
The Residence At Shelburne Bay East,185 PINE HAVEN SHORES ROAD,Shelburne,5482,Chittenden,802-985-9847,ASSISTED LIVING RESIDENCE,VT
The Village At White River Junction,101 CURRIER STREET,White River Junction,5001,Windsor,802-295-7500,ASSISTED LIVING RESIDENCE,VT
Valley Terrace,2820 CHRISTIAN STREET,White River Junction,5001,Windsor,802-280-1910,ASSISTED LIVING RESIDENCE,VT
Vernon Assisted Living Residence,13 GREENWAY DRIVE,Vernon,5354,Windham,802-254-8091,ASSISTED LIVING RESIDENCE,VT
"Village At Cedar Hill, Inc.",92 CEDAR HILL DRIVE,Windsor,5089,Windsor,802-674-2254,ASSISTED LIVING RESIDENCE,VT
Vista Senior Living,103 US ROUTE 4,Killington,5751,Rutland,802-772-7118,ASSISTED LIVING RESIDENCE,VT
West River Valley Assisted Living Residence,461 GRAFTON ROAD,Townshend,5353,Windham,802-365-7190,ASSISTED LIVING RESIDENCE,VT
Woodstock Terrace,456 WOODSTOCK ROAD,Woodstock,5091,Windsor,802-457-2228,ASSISTED LIVING RESIDENCE,VT
(Frances) Atkinson Residence For The Retired,4717 MAIN STREET,Newbury,5051,Orange,802-866-5582,RESIDENTIAL CARE HOME,VT
7 Royce Street,7 ROYCE STREET,Rutland,5701,Rutland,802-773-1495,RESIDENTIAL CARE HOME,VT
Allen Harbor Senior Living,90 ALLEN ROAD,South Burlington,5403,Chittenden,802-863-7897,RESIDENTIAL CARE HOME,VT
Arbors,687 HARBOR ROAD,Shelburne,5482,Chittenden,802-985-8600,RESIDENTIAL CARE HOME,VT
