Facility Name,Address,City,Zip Code,County,Phone Number
(Frances) Atkinson Residence For The Retired,4717 Main Street,Newbury,5051,Orange,802-866-5582
7 Royce Street,7 Royce Street,Rutland,5701,Rutland,802-773-1495
Allen Harbor Senior Living,90 Allen Road,South Burlington,5403,Chittenden,802-863-7897
Arbors,687 Harbor Road,Shelburne,5482,Chittenden,802-985-8600
Arioli Community Care Home,15 Arioli Avenue,Barre,5641,Washington,802-479-1439
Ascutney House,5157 Route 5,Ascutney,5030,Windsor,802-674-4328
Autumn House,141 South Branch Street,Bennington,5201,Bennington,802-442-1243
Ave Maria Community Care Home,19 School Street,Richford ,5476,Franklin,802-848-3003
Averill Place,24 Averill Street,Barre,5641,Washington,802-622-8122
Averte-Bradford House,996 Lower Plain,Bradford,5033,Orange,802-222-4601
"Barbara's 1840 House, INC.",147 Granger Street,Rutland,5701,Rutland,802-747-0545
Blue Spruce Home For The Retired,70 Birch Street,Bradford,5033,Orange,802-222-5332
Bromley Manor,2595 Depot Street,Manchester,5255,Bennington,802-367-3988
Brookdale At Fillmore Pond,300 Village Lane,Bennington,5201,Bennington,802-447-7000
Brookwood,2 School Street,North Springfield,5150,Windsor,802-886-2464
Brownway Residence,328 School Street,Enosburg Falls ,5450,Franklin,802-933-2315
Canterbury Inn,46 Cherry Street,St. Johnsbury,5819,Caledonia,802-748-5556
Cedar Lane Home,76 Cedar Lane,Danville,5828,Caledonia,802-684-8061
Copley House,379 Washington Highway,Morrisville,5661,Lamoille,802-888-7323
Craftsbury Community Care Center,1784 East Craftsbury Road,Craftsbury,5826,Orleans,802-586-2414
Davis Home,45 State Street,Windsor,5089,Windsor,802-674-5300
East Terrace,71 East Terrace,South Burlington,5403,Chittenden,802-660-4383
Eastview At Middlebury,100 Eastview Terrace,Middlebury,5753,Addison,802-989-7500
Emma's Place,212 North Main Street,Wallingford,5773,Rutland,802-446-3574
Equinox Terrace,324 Equinox Terrace Road,Manchester Center,5255,Bennington,802-362-5141
Ethan Allen Residence,1200 North Avenue,Burlington ,5408,Chittenden,802-658-1573
Fairwinds Residential Care Home,108 Mechanic Street,North Bennington,5257,Bennington,802-442-4067
Forest Hill Residential Care Home,213 Clark Drive,Hyde Park,5655,Lamoille,802-888-1700
Four Seasons Care Home,135 South Main Street,Northfield,5663,Washington,802-485-8163
Gatling House Group Home,106 John Street,Bennington,5201,Bennington,802-442-3378
Gazebo Senior Living-Gazebo Apartments,1510 Williston Road,South Burlington,5403,Chittenden,802-865-4461
Gazebo Senior Living-Gazebo North,1530 Williston Road,South Burlington,5403,Chittenden,802-863-2386
