Facility Name,Facility Physical Address,Facility Physical Town,Facility Physical Zip,Facility Physical County,Phone Number,Fax Number,Designated Dementia/Memory Care,ACCS,ERC
(Frances) Atkinson Residence For The Retired,4717 Main Street,Newbury,05051,Orange,802-866-5582,802-866-5585,No,Yes,Yes
7 Royce Street,7 Royce Street,Rutland,05701,Rutland,802-773-1495,802-773-2924,No,Yes,No
Allen Harbor Senior Living,90 Allen Road,South Burlington,05403,Chittenden,802-863-7897,NA,No,No,No
Arbors,687 Harbor Road,Shelburne,05482,Chittenden,802-985-8600,802-985-9787,No,No,No
Arioli Community Care Home,15 Arioli Avenue,Barre,05641,Washington,802-479-1439,802-479-1988,No,Yes,No
Ascutney House,5157 Route 5,Ascutney,05030,Windsor,802-674-4328,802-674-9154,No,Yes,Yes
Autumn House,141 South Branch Street,Bennington,05201,Bennington,802-442-1243,802-442-1705,No,Yes,No
Ave Maria Community Care Home,19 School Street,Richford ,05476,Franklin,802-848-3003,802-848-3216,No,Yes,Yes
Averill Place,24 Averill Street,Barre,05641,Washington,802-622-8122,802-622-8125,No,Yes,No
Averte-Bradford House,996 Lower Plain,Bradford,05033,Orange,802-222-4601,802-222-5422,No,No,No
"Barbara's 1840 House, INC.",147 Granger Street,Rutland,05701,Rutland,802-747-0545,802-747-7285,No,Yes,Yes
Blue Spruce Home For The Retired,70 Birch Street,Bradford,05033,Orange,802-222-5332,802-222-3550,No,Yes,Yes
Bromley Manor,2595 Depot Street,Manchester,05255,Bennington,802-367-3988,802-768-8058,Yes,No,No
Brookdale At Fillmore Pond,300 Village Lane,Bennington,05201,Bennington,802-447-7000,802-447-8888,No,Yes,Yes
Brookwood,2 School Street,North Springfield,05150,Windsor,802-886-2464,802-886-2463,No,Yes,Yes
Brownway Residence,328 School Street,Enosburg Falls ,05450,Franklin,802-933-2315,802-933-7997,No,Yes,Yes
Canterbury Inn,46 Cherry Street,St. Johnsbury,05819,Caledonia,802-748-5556,802-748-0362,No,Yes,No
Cedar Lane Home,76 Cedar Lane,Danville,05828,Caledonia,802-684-8061,802-684-8063,No,Yes,No
