Speciality,contract,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Disclosure of Services,Has Reports?,Reports Location
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home",103302,40001033,32310,AF  ,LA COUNTRY CARE,OP    ,2073 W BENCH RD,OTHELLO,WA,99344,Adams,2073 W BENCH RD,OTHELLO,WA,99344,(509) 488-9756,,(509) 488-0684,1E,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Quezada, Guadalupe A. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=103302,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=103302
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Meaningful Day, Expanded Community Services, Adult Family Home",754222,40009324,45660,AF  ,Othello Senior Care LLC,OP    ,520 E Rose Dr,Othello,WA,99344,Adams,520 E Rose Dr,Othello,WA,99344,(509) 488-9556,,(509) 488-6081,1E,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 , 1080XS-12 ","Mendoza, Maria ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=754222,No, 
"Mental Health, Dementia, Developmental Disabilities","Specialized Behavior Support, Expanded Community Services, Adult Family Home",753550,40009857,44689,AF  ,Serenity Adult Family Home LLC,OP    ,1120 S Shady Lane,Othello,WA,99344,Adams,1120 S Shady Lane,Othello,WA,99344,(509) 488-3077,,(509) 488-5959,1E,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Gonzalez, Maria D. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=753550,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=753550
"Mental Health, Dementia, Developmental Disabilities",Adult Family Home,750240,40005179,39027,AF  ,THE VILLAGE,OP    ,2075 W BENCH RD,OTHELLO,WA,99344,Adams,2075 W BENCH RD,OTHELLO,WA,99344,(509) 488-1064,(509) 488-4037,,1E,"SPMI, SPDE, SPDD",1080XS-12 ,"GARZA, DIANA ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=750240,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=750240
"Mental Health, Dementia, Developmental Disabilities","Private Duty Nursing, Expanded Community Services, Adult Family Home",378700,40003787,35510,AF  ,WEEPING RIDGE ESTATE AFH INC,OP    ,2455 W BENCH RD,OTHELLO,WA,99344,Adams,2455 W BENCH RD,OTHELLO,WA,99344,(509) 488-6233,,(509) 488-3600,1E,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 , 1080XS-12 ","Rodriguez, Israel ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=378700,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=378700
"Mental Health, Dementia, Developmental Disabilities","Private Duty Nursing, Adult Family Home",751171,40008820,40065,AF  ,"Weeping Ridge West, Inc",OP    ,2455-B  W Bench Rd,Othello,WA,99344,Adams,2455-B  W Bench Rd,Othello,WA,99344,(509) 488-3500,,(509) 488-3600,1E,"SPMI, SPDE, SPDD","1080XS-12 , 1080XS-12 ","Rodriguez, Israel ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=751171,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=751171
"Mental Health, Dementia",Adult Family Home,484800,40004848,36571,AF  ,KATHERIN'S HARMONY HOUSE,OP    ,1358 SYCAMORE,CLARKSTON,WA,99403,Asotin,1358 SYCAMORE,CLARKSTON,WA,99403,(509) 758-3038,,(509) 751-5303,1E,"SPMI, SPDE",1080XS-12 ,"Spindler, Katherine L. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=484800,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=484800
"Mental Health, Dementia",No Contract,755050,40009166,47032,AF  ,Preferred Care AFH LLC,OP    ,2341 12TH AVE ,CLARKSTON,WA,99403,Asotin,2341 12TH AVE ,CLARKSTON,WA,99403,(509) 751-0300,,,1E,"SPMI, SPDE",,"Konchellah, Vincent ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=755050,No, 
"Mental Health, Dementia",Adult Family Home,752612,40007166,42150,AF  ,Riverview Residential Home and Care LLC,OP    ,1842 Golfview Dr,Clarkston,WA,99403,Asotin,1842 Golfview Dr,Clarkston,WA,99403,(509) 751-0168,,(509) 751-1168,1E,"SPMI, SPDE",1080XS-12 ,"Parson, Michelle ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=752612,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=752612
"Mental Health, Dementia","Specialized Behavior Support, Expanded Community Services, Adult Family Home",428200,40004282,36021,AF  ,SYCAMORE GLEN,OP    ,1587 SYCAMORE ST,CLARKSTON,WA,99403,Asotin,1587 Sycamore St,Clarkston,WA,99403,(509) 552-1068,,(866) 264-1825,1E,"SPMI, SPDE","1080XS-12 , 1080XS-12 , 1080XS-12 ","Kromrei, Sharee A. ",6,,,,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHServices.aspx?Lic=428200,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/AFHForms.aspx?Lic=428200
