State Facility Type 2 Literal,Medicaid,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal
Assisted Living SOW,Yes,2334,43697,COVENTRY HOUSE,430 N 2nd Ave,Othello,WA,99344,Adams,(509) 488-1000,55,Assisted Living Facility
Assisted Living SOW,Yes,1713,30864,ROSE GARDEN ESTATES,406 S Cascade St,Ritzville,WA,99169,Adams,(509) 659-4717,21,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care",Yes,2039,39377,AVALON PROGRESSIVE CARE LLC,1937 2ND AVE,CLARKSTON,WA,99403,Asotin,(509) 758-6770,12,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2022,40054,EVERGREEN ESTATES RETIREMENT & ASSISTED LIVING COMMUNITY,1215 Evergreen Ct,Clarkston,WA,99403,Asotin,(509) 758-5260,50,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW",Yes,2154,41832,Amber Hills,125 N Wamba Rd,Prosser,WA,99350,Benton,(509) 786-3100,44,Assisted Living Facility
No Contract,Yes,2015,39600,BONAVENTURE OF THE TRI-CITIES,1800 BELLERIVE DRIVE,RICHLAND,WA,99352,Benton,(509) 628-0221,123,Assisted Living Facility
No Contract,Yes,2263,42372,Brookdale Canyon Lakes,2802 W 35TH AVE,KENNEWICK,WA,99337,Benton,(509) 586-5633,43,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2311,42383,Brookdale Meadow Springs,770 Gage Blvd,Richland,WA,99352,Benton,(509) 627-3032,108,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,1696,30848,Brookdale Richland,1629 George Washington Way,Richland,WA,99354,Benton,(509) 946-4600,159,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2325,42394,Brookdale Torbett,221 Torbett St,Richland,WA,99354,Benton,(509) 943-5353,48,Assisted Living Facility
Enhanced Adult Residential Care,Yes,2511,45603,Callaway Gardens Alzheimers Special Care Center,5505 W Skagit Ct,Kennewick,WA,99336,Benton,(509) 783-5433,56,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2459,45089,Creekstone Care Homes LLC,3321 W 10th Ave,Kennewick,WA,99336,Benton,,28,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2449,44923,Fieldstone Grandridge Independent and Assisted Living,7255 W Grandridge Blvd,Kennewick,WA,99336,Benton,(509) 491-3946,102,Assisted Living Facility
"Enhanced Adult Residential Care, Assisted Living SOW",Yes,2448,44922,Fieldstone Memory Care of Kennewick,575 N Young St,Kennewick,WA,99336,Benton,(509) 491-3945,69,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care",Yes,1513,30723,GUARDIAN ANGEL HOMES (THE COTTAGE),245 Van Giesen St,Richland,WA,99354,Benton,(509) 943-2100,96,Assisted Living Facility
No Contract,Yes,1268,30548,HAWTHORNE COURT,524 N Ely St,Kennewick,WA,99336,Benton,(509) 783-8313,62,Assisted Living Facility
Assisted Living SOW,Yes,2025,40208,Parkview Estates,7820 W 6th Ave,Kennewick,WA,99336,Benton,(509) 734-9773,110,Assisted Living Facility
Assisted Living SOW,Yes,2150,41835,Prestige Assisted Living at Richland,1745 Pike Ave,Richland,WA,993542295,Benton,(509) 946-8095,26,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,1526,30733,"ROSETTA ASSISTED LIVING,  FISHER",520 N FISHER STREET,KENNEWICK,WA,99336,Benton,(509) 734-3311,16,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,1614,30799,"ROSETTA ASSISTED LIVING, HOXIE",1939 Hoxie Ave,Richland,WA,99354,Benton,(509) 943-5411,16,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Adult Residential Care",Yes,1527,30734,"ROSETTA ASSISTED LIVING, OLYMPIA",1208 W 11TH PL,KENNEWICK,WA,99337,Benton,(509) 582-3832,16,Assisted Living Facility
No Contract,Yes,2581,46796,Royal Columbian Senior Living,5615 W Umatilla Ave,Kennewick,WA,99336,Benton,(509) 591-9974,96,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",Yes,2206,41933,Ruan's Garden,3502 W 4th Ave,Kennewick,WA,99336,Benton,(509) 783-9305,15,Assisted Living Facility
"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Assisted Living SOW",Yes,1440,30675,SUN TERRACE PROSSER,2131 WINE COUNTRY ROAD,PROSSER,WA,99350,Benton,(509) 786-3300,95,Assisted Living Facility
"Enhanced Adult Residential Care, Adult Residential Care",Yes,2536,46079,Three Rivers Place Senior Living,1108 W 5th Ave,Kennewick,WA,99336,Benton,,42,Assisted Living Facility
No Contract,Yes,2540,46053,Windsong at Southridge,4000 W 24th Avenue,Kennewick,WA,99338,Benton,(509) 202-4327,56,Assisted Living Facility
No Contract,Yes,2415,44333,Avamere at Wenatchee,1550 CHERRY STREET,WENATCHEE,WA,98801,Chelan,(509) 662-8646,84,Assisted Living Facility
"Specialized Dementia Care, Enhanced Adult Residential Care",Yes,2395,44304,Blossom Creek Senior Alzheimer Community,1740 Madison St,Wenatchee,WA,988014700,Chelan,(509) 662-3500,50,Assisted Living Facility
No Contract,Yes,2397,44306,Blossom Valley Senior Assisted Living Community,1701 Orchard Ave,Wenatchee,WA,98801,Chelan,(509) 667-0990,80,Assisted Living Facility
"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",Yes,2067,40850,CHRISTOPHER HOUSE,100 S Cleveland Ave,Wenatchee,WA,98801,Chelan,(509) 888-0773,77,Assisted Living Facility
Assisted Living SOW,Yes,1422,30661,EPLEDALEN RETIREMENT & ASSISTED LIVING,809 PIONEER AVENUE,CASHMERE,WA,98815,Chelan,(509) 782-7600,39,Assisted Living Facility
