Speciality,contract,Check_Type,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Has Reports?,Reports Location
None,Assisted Living SOW,,2334,60008896,43697,BH  ,COVENTRY HOUSE,OP    ,430 N 2nd Ave,Othello,WA,99344,Adams,430 N 2nd Ave,Othello,WA,99344,(509) 488-1000,,(509) 488-9235,1B,,1002XP-12 ,"Montemayor, Sarah H. ",55,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2334
None,Assisted Living SOW,,1713,60001105,30864,BH  ,ROSE GARDEN ESTATES,OP    ,406 S Cascade St,Ritzville,WA,99169,Adams,406 S CASCADE,RITZVILLE,WA,99169,(509) 659-4717,,,1B,,1002XP-12 ,"Semingson, Alice ",21,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1713
None,"Expanded Community Services, Enhanced Adult Residential Care",,2039,60009516,39377,BH  ,AVALON PROGRESSIVE CARE LLC,OP    ,1937 2ND AVE,CLARKSTON,WA,99403,Asotin,1937 2ND AVE,CLARKSTON,WA,99403,(509) 758-6770,(509) 758-9310,,1B,,1036XP-12 ,"Galles, Carol A. ",12,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2039
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2022,60000693,40054,BH  ,EVERGREEN ESTATES RETIREMENT & ASSISTED LIVING COMMUNITY,OP    ,1215 Evergreen Ct,Clarkston,WA,99403,Asotin,1215 Evergreen Ct,Clarkston,WA,99403,(509) 758-5260,(509) 758-1992,,1B,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Camerlo, Peter A. ",50,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2022
None,"Expanded Community Services, Enhanced Adult Residential Care, Assisted Living SOW",,2154,60008773,41832,BH  ,Amber Hills,OP    ,125 N Wamba Rd,Prosser,WA,99350,Benton,125 N Wamba Rd,Prosser,WA,99350,(509) 786-3100,,(509) 786-1273,1C,,"1036XP-12 , 1002XP-12 ","McDaniel, Thomas ",44,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2154
None,No Contract,,2015,60009525,39600,BH  ,BONAVENTURE OF THE TRI-CITIES,OP    ,1800 BELLERIVE DRIVE,RICHLAND,WA,99352,Benton,"3425 Boone Rd., SE",SALEM,OR,97317,(509) 628-0221,(509) 628-0622,,1C,,,"Marshall, Nicholas J. ",123,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2015
None,No Contract,,2263,60007845,42372,BH  ,Brookdale Canyon Lakes,OP    ,2802 W 35TH AVE,KENNEWICK,WA,99337,Benton,2802 W 35TH AVE,KENNEWICK,WA,99337,(509) 586-5633,(509) 586-5016,,1C,,,"Green, Joseph ",43,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2263
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2311,60008703,42383,BH  ,Brookdale Meadow Springs,OP    ,770 Gage Blvd,Richland,WA,99352,Benton,770 Gage Blvd,Richland,WA,99352,(509) 627-3032,(509) 627-3160,,1C,,"1006XP-12 , 1002XP-12 ","Ruzicka, Laurie ",108,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2311
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,1696,60000663,30848,BH  ,Brookdale Richland,OP    ,1629 George Washington Way,Richland,WA,99354,Benton,1629 GEORGE WASHINGTON WAY,RICHLAND,WA,99352,(509) 946-4600,,(509) 943-3166,1C,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","HERVEY, JAMES ",159,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1696
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2325,60008842,42394,BH  ,Brookdale Torbett,OP    ,221 Torbett St,Richland,WA,99354,Benton,221 Torbett St,Richland,WA,99354,(509) 943-5353,(509) 943-0433,,1C,,"1027XS-12 , 1006XP-12 ","Elliott, Abbie ",48,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2325
