State Facility Type 2 Literal,License Number,Facility ID,Facility Name,Address,City,State,Zip Code,County,Phone Number,Capacity,State Facility Type 1 Literal,Date Accessed
ASSISTED LIVING SOW,2334,43697,Coventry House,430 N 2ND AVE,Othello,WA,99344,Adams,(509) 488-1000,55,ASSISTED LIVING FACILITY,7/6/21
ASSISTED LIVING SOW,1713,30864,Rose Garden Estates,406 S CASCADE ST,Ritzville,WA,99169,Adams,(509) 659-4717,21,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE",2039,39377,Avalon Progressive Care Llc,1937 2ND AVE,Clarkston,WA,99403,Asotin,(509) 758-6770,12,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",2022,40054,Evergreen Estates Retirement & Assisted Living Community,1215 EVERGREEN CT,Clarkston,WA,99403,Asotin,(509) 758-5260,50,ASSISTED LIVING FACILITY,7/6/21
"EXPANDED COMMUNITY SERVICES, ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2154,41832,Amber Hills,125 N WAMBA RD,Prosser,WA,99350,Benton,(509) 786-3100,44,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2015,39600,Bonaventure Of The Tri-Cities,1800 BELLERIVE DRIVE,Richland,WA,99352,Benton,(509) 628-0221,123,ASSISTED LIVING FACILITY,7/6/21
NO CONTRACT,2263,42372,Brookdale Canyon Lakes,2802 W 35TH AVE,Kennewick,WA,99337,Benton,(509) 586-5633,43,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW",2311,42383,Brookdale Meadow Springs,770 GAGE BLVD,Richland,WA,99352,Benton,(509) 627-3032,108,ASSISTED LIVING FACILITY,7/6/21
"ENHANCED ADULT RESIDENTIAL CARE, ASSISTED LIVING SOW, ADULT RESIDENTIAL CARE",1696,30848,Brookdale Richland,1629 GEORGE WASHINGTON WAY,Richland,WA,99354,Benton,(509) 946-4600,159,ASSISTED LIVING FACILITY,7/6/21
"SPECIALIZED DEMENTIA CARE, ENHANCED ADULT RESIDENTIAL CARE",2325,42394,Brookdale Torbett,221 TORBETT ST,Richland,WA,99354,Benton,(509) 943-5353,48,ASSISTED LIVING FACILITY,7/6/21
