Facility ID,Facility Name,Address,City,State,Zip Code,Phone Number,County,Licensee,State Facility Type 2 Literal,Capacity
14530,ADAMS COMFORT LIVING,211 E JUNE ST,ADAMS,WI,53910-,(608) 339-4831,ADAMS,,NONAMBULATORY,4
14936,RYKIEL'S AFH LLC,801 NORTH ST PO BOX 21,ADAMS,WI,53910-,(608) 339-9634,ADAMS,,AFH,4
13635,FOSNOW ADULT FAMILY HOME II,2318 13TH LN,FRIENDSHIP,WI,53934-,(608) 339-9421,ADAMS,FOSNOW ADULT FAMILY HOME LLC,AFH,4
13911,FOSNOW ADULT FAMILY HOME III,2319 13TH LN,FRIENDSHIP,WI,53934-,(608) 547-1915,ADAMS,FOSNOW ADULT FAMILY HOME LLC,AFH,4
15768,FOSNOW ADULT FAMILY HOME IV,1155 S CZECH CT,FRIENDSHIP,WI,53934,(608) 339-2946,ADAMS,FOSNOW ADULT FAMILY HOME LLC,AFH,4
13624,FOSNOW ADULT FAMILY HOME LLC,2324 13TH LN,FRIENDSHIP,WI,53934-,(608) 339-2946,ADAMS,FOSNOW ADULT FAMILY HOME LLC,AFH,4
16247,FRIENDSHIP ASSISTED LIVING LLC,100 N MAIN STREET,FRIENDSHIP,WI,53934,(608) 474-0192,ADAMS,FRIENDSHIP ASSISTED LIVING LLC,NONAMBULATORY,4
16590,DECLARATION REM WISCONSIN III INC,61148 HILLSIDE LN,ASHLAND,WI,54806,(715) 682-0438,ASHLAND,REM WISCONSIN INC,NONAMBULATORY,4
16588,HASANI REM WISCONSIN III INC,1610 W 10TH AVE,ASHLAND,WI,54806,(715) 292-6333,ASHLAND,REM WISCONSIN INC,NONAMBULATORY,4
17871,PIFF ADULT FAMILY HOME,717 14TH AVENUE WEST,ASHLAND,WI,54806,(715) 292-6337,ASHLAND,PIFF ADULT FAMILY HOME,AMBULATORY,4
13221,WILLOW PINES,1058-6TH STREET,ALMENA,WI,54805-,(715) 357-3824,BARRON,,AFH,4
16155,REBECCAS ADULT FAMILY HOME,1121 14 1/2 ST,BARRON,WI,54812,(715) 418-9417,BARRON,,AFH,4
18050,ACORN COTTAGE,2917 7TH STREET,BARRONETT,WI,54813,(715) 822-8385,BARRON,OAK VIEW ADULT FAMILY HOME CORP,NONAMBULATORY,4
18048,OAK BRANCH BUNGALOW,2913 7TH STREET,BARRONETT,WI,54813,,BARRON,OAK VIEW ADULT FAMILY HOME CORP,NONAMBULATORY,4
18051,OAK LEAF LODGE,2919 7TH STREET,BARRONETT,WI,54813,(715) 822-8385,BARRON,OAK VIEW ADULT FAMILY HOME CORP,NONAMBULATORY,4
18049,SAPLING SUITE,2915 7TH STREET,BARRONETT,WI,54813,(715) 822-8385,BARRON,OAK VIEW ADULT FAMILY HOME CORP,NONAMBULATORY,4
590167,JUST LIKE HOME,1117 W STOUT STREET,CHETEK,WI,54728-,(715) 924-3632,BARRON,,AFH,4
14623,LEWALLEN ADULT FAMILY HOME,2630 8 1/4 AVENUE,CHETEK,WI,54728-,(715) 924-3332,BARRON,,AFH,4
18459,WHOLE LIFE ASSISTED LIVING LLC,26 BIRD STREET,CHETEK,WI,54728,(715) 456-0631,BARRON,WHOLE LIFE ASSISTED LIVING LLC,NONAMBULATORY,4
16571,AUTUMN LEAVES ASSISTED LIVING ESTATES,1515 LLOYD ST,CUMBERLAND,WI,54829,(715) 296-9127,BARRON,AUTUMN LEAVES ASSISTED LIVING ESTATES INC,NONAMBULATORY,4
13309,THOMPSONS AFH,565 25 1/4 STREET,NEW AUBURN,WI,54757-,(715) 924-0156,BARRON,,AFH,4
590093,CIRCLE OF HOPE INC,180 WAYNE ST EAST,PRAIRIE FARM,WI,54762-,(715) 455-1883,BARRON,CIRCLE OF HOPE INC,AFH,4
16133,CCC HOMES BARKER HOUSE,510 E BARKER,RICE LAKE,WI,54868,,BARRON,CCC HOMES,AFH,4
15807,CCC HOMES KERN HOUSE,730 KERN AVENUE,RICE LAKE,WI,54868,(715) 475-1081,BARRON,CCC HOMES,AFH,4
15556,CCC HOMES LTD NELSON HOME,831 NELSON DRIVE,RICE LAKE,WI,54868,(715) 790-7800,BARRON,CCC HOMES,AFH,4
17253,CHRISMARK HOME MOULLETTE,525 MOULLETTE DR,RICE LAKE,WI,54868,(715) 736-1112,BARRON,CHRISMARK HOME LLC,AMBULATORY,4
16803,JB SIGNATURE HOMES LLC,706 CARSON STREET,RICE LAKE,WI,54868,(715) 296-5415,BARRON,JB SIGNATURE HOMES LLC,AMBULATORY,4
