Facility ID,Facility Name,Street,City,State,Zip Code,Phone Number,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,Mailing Street,Mailing City,Mailing State,Mailing Zip Code,Licensee Phone Number,Class,Gender,Capacity,Low Rate,High Rate,Date Probationary Issued,Date Regular Issued,Waiver Certified Independent CBRF Apartments,Traumatic Brain Injury,Terminally Ill,Public Funding,Pregnant Women/Counselling,Physically Disabled,Irreversible Dementia/Alzeimers,Emotionally Disturbed/Mental Illness,Developmentally Disabled,Correctional Clients,Alcohol Drug/Dependent,Advanced Aged,HCBS Compliant
0014530,ADAMS COMFORT LIVING,211 E JUNE ST,ADAMS,WI,53910-,(608) 339-4831,ADAMS,BAUMLER,JESSICA,,BAUMLER,JESSICA,BAUMLER,JESSICA,PO BOX 220,,WI,53910-,(563) 419-1509,NONAMBULATORY,B,4,"$1,500.00","$6,000.00",,29-Jan-13,,,,,,X,,X,,,,X,X
0014936,RYKIEL'S AFH LLC,801 NORTH ST PO BOX 21,ADAMS,WI,53910-,(608) 339-9634,ADAMS,JOHNSON,FLORA JEAN,,JOHNSON,FLORA JEAN,JOHNSON,FLORA JEAN,801 NORTH ST PO BOX 21,,WI,53910-,(608) 339-9634,AFH,B,4,"$1,573.00","$2,294.00",,14-Jan-14,,,,,,X,,X,X,,,X,X
0013635,FOSNOW ADULT FAMILY HOME II,2318 13TH LN,FRIENDSHIP,WI,53934-,(608) 339-9421,ADAMS,FOSNOW,RITA,FOSNOW ADULT FAMILY HOME LLC,FOSNOW,RITA,FOSNOW,RITA,2318 13TH LN,,WI,53934-,(608) 339-2946,AFH,B,4,"$3,600.00","$10,000.00",,25-Jan-11,,,,,,X,,,X,,,X,X
0013911,FOSNOW ADULT FAMILY HOME III,2319 13TH LN,FRIENDSHIP,WI,53934-,(608) 547-1915,ADAMS,FOSNOW,RITA,FOSNOW ADULT FAMILY HOME LLC,FOSNOW,RITA,FOSNOW,RITA,2324 13TH LN,,WI,53934-,(608) 547-1915,AFH,B,4,"$4,000.00","$7,000.00",,3-Nov-11,,,,,,X,,,X,,,X,X
0015768,FOSNOW ADULT FAMILY HOME IV,1155 S CZECH CT,FRIENDSHIP,WI,53934,(608) 339-2946,ADAMS,FOSNOW,RITA,FOSNOW ADULT FAMILY HOME LLC,FOSNOW,RITA,FOSNOW,RITA,2324 13TH LN,,WI,53934,(608) 339-2946,AFH,B,4,"$4,350.00","$6,500.00",,13-Aug-15,,X,X,X,,X,X,X,X,,,X,X
0013624,FOSNOW ADULT FAMILY HOME LLC,2324 13TH LN,FRIENDSHIP,WI,53934-,(608) 339-2946,ADAMS,FOSNOW,RITA,FOSNOW ADULT FAMILY HOME LLC,FOSNOW,RITA,FOSNOW,RITA,2324 13TH LN,,WI,53934-,(608) 339-2946,AFH,B,4,"$3,000.00","$6,000.00",,10-Jan-11,,,,,,X,,,X,,,,X
0016247,FRIENDSHIP ASSISTED LIVING LLC,100 N MAIN STREET,FRIENDSHIP,WI,53934,(608) 474-0192,ADAMS,SLEEMAN,SHELLEY,FRIENDSHIP ASSISTED LIVING LLC,SLEEMAN,SHELLEY,SLEEMAN,SHELLEY,PO BOX 571,,WI,53934,(608) 474-0192,NONAMBULATORY,B,4,"$2,700.00","$3,700.00",,1-Nov-17,,X,X,,,,,,X,,,X,
0016590,DECLARATION REM WISCONSIN III INC,61148 HILLSIDE LN,ASHLAND,WI,54806,(715) 682-0438,ASHLAND,WRIGHT,LORI,REM WISCONSIN INC,WRIGHT,LORI,WRIGHT,LORI,"4033 123RD ST, STE A",,WI,54729,(608) 276-1191,NONAMBULATORY,B,4,"$8,035.00","$9,207.00",,14-Mar-17,,,,X,,,X,X,X,,,,X
0016588,HASANI REM WISCONSIN III INC,1610 W 10TH AVE,ASHLAND,WI,54806,(715) 292-6333,ASHLAND,WRIGHT,LORI,REM WISCONSIN INC,WRIGHT,LORI,WRIGHT,LORI,"4033 123RD ST, STE A",,WI,54729,(608) 276-1191,NONAMBULATORY,B,4,"$8,035.00","$9,083.00",,14-Mar-17,,,,X,,,X,X,X,,,,
0017871,PIFF ADULT FAMILY HOME,717 14TH AVENUE WEST,ASHLAND,WI,54806,(715) 292-6337,ASHLAND,PIFF,PATRICIA,PIFF ADULT FAMILY HOME,PIFF,PATRICIA,PIFF,PATRICIA,717 14TH AVENUE WEST,,WI,54806,(715) 292-6337,AMBULATORY,B,4,$900.00,"$5,000.00",,30-Jan-20,,X,,X,,,,X,X,,X,,X
