Facility ID,Facility Name,Address,City,State,Zip Code,Phone Number,County,Licensee,State Facility Type 2 Literal
15835,LIBERTY VILLAGE OF ADAMS,550 W LIBERTY STREET,ADAMS,WI,53910,(608) 339-9444,ADAMS,COPPERLEAF MANAGEMENT GROUP INC,CLASS CNA (NONAMBULATORY)
15012,BIRCH HAVEN SENIOR LIVING BEARS HOLLOW,1019 15TH AVE W,ASHLAND,WI,54806-,(715) 682-2534,ASHLAND,KELM ENTERPRISES INC,CLASS CNA (NONAMBULATORY)
15013,BIRCH HAVEN SENIOR LIVING EAGLES RIDGE,224 22ND AVE W,ASHLAND,WI,54806-,(715) 682-1069,ASHLAND,KELM ENTERPRISES INC,CLASS CNA (NONAMBULATORY)
15014,BIRCH HAVEN SENIOR LIVING FALCONS CREST,218 22ND AVE W,ASHLAND,WI,54806-,(715) 682-2775,ASHLAND,KELM ENTERPRISES INC,CLASS CNA (NONAMBULATORY)
15011,BIRCH HAVEN SENIOR LIVING TIMBERS EDGE,1500 10TH ST W,ASHLAND,WI,54806-,(715) 682-2506,ASHLAND,KELM ENTERPRISES INC,CLASS CNA (NONAMBULATORY)
510307,HANSENS GROUP HOME,1190 17TH ST,BARRON,WI,54812-,(715) 537-5331,BARRON,SUSAN HANSEN,CLASS AA (AMBULATORY)
510311,MONROE MANOR,508 E MONROE AVE,BARRON,WI,54812-,(715) 537-5700,BARRON,VANYO INC,CLASS CNA (NONAMBULATORY)
16453,LSS BARRON AREA RESIDENTIAL TREATMENT,806 29 1/2 AVE,BARRONETT,WI,54813,(715) 214-9062,BARRON,"LUTHERAN SOCIAL SERVICES OF WI AND UPPER MI, INC.",CLASS AA (AMBULATORY)
17063,AIN DAH ING INC,2113 13 12 1/2 AVE,CAMERON,WI,54822,(715) 458-1310,BARRON,AIN DAH ING INC,CLASS AS (SEMIAMBULATORY)
18165,HANSONS COUNTRY HOME,1372 24 3/8 STREET,CAMERON,WI,54822,(715) 859-2802,BARRON,ASPEN RAE MANAGEMENT INC,CLASS CA (AMBULATORY)
17730,INTEGRICARE CAMERON,1372 24 3/8 ST,CAMERON,WI,54822,(715) 859-6309,BARRON,JMAR OUTDOORS INC,CLASS CS (SEMIAMBULATORY)
18468,CHRISMARK HOME WOODARD ST,251 WOODARD ST,CHETEK,WI,54728,(715) 736-1112,BARRON,CHRISMARK HOME LLC,CLASS AA (AMBULATORY)
510300,AURORA RES ALTERNATIVES INC 049,1849 HWY 63,COMSTOCK,WI,54826-,(715) 822-2245,BARRON,AURORA RESIDENTIAL ALTERNATIVES INC,CLASS AA (AMBULATORY)
17325,CAMBRIDGE SENIOR LIVING,820 BEAR PAW AVE,RICE LAKE,WI,54868,(888) 651-7220,BARRON,CAMBRIDGE SENIOR LIVING,CLASS CNA (NONAMBULATORY)
15820,CARE PARTNERS RICE LAKE II,1639 KERN AVENUE,RICE LAKE,WI,54868,(715) 719-0415,BARRON,CARE PARTNERS ASSISTED LIVING LLC,CLASS CNA (NONAMBULATORY)
18303,CHRISMARK HOME JOHN STREET,320 EAST JOHN STREET,RICE LAKE,WI,54868,(715) 736-1112,BARRON,CHRISMARK HOME LLC,CLASS AA (AMBULATORY)
16735,CHRISMARK HOME LLC,1627 KERN AVE,RICE LAKE,WI,54868,(715) 736-1112,BARRON,CHRISMARK HOME LLC,CLASS CNA (NONAMBULATORY)
9581,COUNTRY TERRACE OF WISCONSIN INC,1631 KERN AVENUE,RICE LAKE,WI,54868-,(715) 234-2012,BARRON,COUNTRY TERRACE OF WISCONSIN INC,CLASS CNA (NONAMBULATORY)
17729,INTEGRICARE RICE LAKE,315 E ST PATRICK ST,RICE LAKE,WI,54868,(715) 719-0024,BARRON,JMAR OUTDOORS INC,CLASS AA (AMBULATORY)
14442,MAGNA HOUSE OF BARRON COUNTY LLC,615 E SAWYER ST,RICE LAKE,WI,54868-,(715) 736-6334,BARRON,MAGNA HOUSE OF BARRON COUNTY LLC,CLASS AA (AMBULATORY)
9905,NEW BEGINNINGS OF BARRON COUNTY INC,4 CORNELL AVENUE,RICE LAKE,WI,54868,(715) 736-1311,BARRON,NEW BEGINNINGS OF BARRON COUNTY INC,CLASS AA (AMBULATORY)
18291,NORTHWOOD GABLES,1464 21ST AVENUE,RICE LAKE,WI,54868,(715) 234-9415,BARRON,CARE MANAGEMENT LLC,CLASS AA (AMBULATORY)
13421,OUR HOUSE RICE LAKE ASSISTED CARE,415 E SOUTH ST,RICE LAKE,WI,54868-,(715) 236-7211,BARRON,KSMS OUR HOUSE LLC,CLASS CNA (NONAMBULATORY)
13426,OUR HOUSE RICE LAKE MEMORY CARE,413 E SOUTH ST,RICE LAKE,WI,54868-,(715) 736-0347,BARRON,KSMS OUR HOUSE LLC,CLASS CNA (NONAMBULATORY)
