Facility ID,Facility Name,Street,City,State,Zip Code,Phone Number,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,Mailing Street,Mailing City,Mailing State,Mailing Zip Code,Licensee Phone Number,Class,Gender,Capacity,Low Rate,High Rate,Date Probationary Issued,Date Regular Issued,Region,Waiver Certified Independent CBRF Apartments,Traumatic Brain Injury,Terminally Ill,Public Funding,Pregnant Women Counselling,Physically Disabled,Irreversible Dementia Alzeimers,Emotionally Disturbed Mental Illness,Developmentally Disabled,Correctional Clients,Alcohol Drug Dependent,Advanced Aged,HCBS Compliant
15835,LIBERTY VILLAGE OF ADAMS,550 W LIBERTY STREET,ADAMS,WI,53910,(608) 339-9444,ADAMS,YACH,JARETT,COPPERLEAF MANAGEMENT GROUP INC,MENDYKE,KRISTA,MENDYKE,KRISTA,1077 WILSHIRE BLVD,STEVENS POINT,WI,54481,(715) 254-4357,CLASS CNA (NONAMBULATORY),B,50,3850,5850,30-Nov-15,1-Dec-16,NORTHEASTERN REGION,,,X,X,,X,X,X,,,,X,X
15012,BIRCH HAVEN SENIOR LIVING BEARS HOLLOW,1019 15TH AVE W,ASHLAND,WI,54806-,(715) 682-2534,ASHLAND,HILGART-SCHRAUFNAGEL,KATHY,KELM ENTERPRISES INC,KELM,DALE,KELM,DALE,16955 BADGER ROAD,MASON,WI,54806-,(715) 682-2414,CLASS CNA (NONAMBULATORY),B,17,3390,5828,1-Jul-14,1-Jul-15,NORTHWESTERN REGION,,X,,X,,X,X,X,,,,X,X
15013,BIRCH HAVEN SENIOR LIVING EAGLES RIDGE,224 22ND AVE W,ASHLAND,WI,54806-,(715) 682-1069,ASHLAND,HILGART-SCHRAUFNAGEL,KATHY,KELM ENTERPRISES INC,KELM,DALE,KELM,DALE,16955 BADGER ROAD,MASON,WI,54806-,(715) 682-2414,CLASS CNA (NONAMBULATORY),B,8,3390,5828,1-Jul-14,1-Jul-15,NORTHWESTERN REGION,,X,,X,,X,X,X,,,,X,X
15014,BIRCH HAVEN SENIOR LIVING FALCONS CREST,218 22ND AVE W,ASHLAND,WI,54806-,(715) 682-2775,ASHLAND,HILGART-SCHRAUFNAGEL,KATHY,KELM ENTERPRISES INC,KELM,DALE,KELM,DALE,16955 BADGER ROAD,MASON,WI,54806-,(715) 682-2414,CLASS CNA (NONAMBULATORY),B,15,3390,5828,1-Jul-14,1-Jul-15,NORTHWESTERN REGION,,X,,X,,X,X,X,,,,X,X
15011,BIRCH HAVEN SENIOR LIVING TIMBERS EDGE,1500 10TH ST W,ASHLAND,WI,54806-,(715) 682-2506,ASHLAND,HILGART-SCHRAUFNAGEL,KATHY,KELM ENTERPRISES INC,KELM,DALE,KELM,DALE,16955 BADGER ROAD,MASON,WI,54806-,(715) 682-2414,CLASS CNA (NONAMBULATORY),B,15,3390,5828,1-Jul-14,1-Jul-15,NORTHWESTERN REGION,,X,,X,,X,X,X,,,,X,X
510307,HANSENS GROUP HOME,1190 17TH ST,BARRON,WI,54812-,(715) 537-5331,BARRON,HANSEN,SUSAN & CARL,SUSAN HANSEN,HANSEN,SUSAN,HANSEN,SUSAN,1190 17TH ST,BARRON,WI,54812-,(715) 537-5331,CLASS AA (AMBULATORY),B,7,1500,4000,12-Feb-85,1-Feb-86,NORTHWESTERN REGION,,,,X,,,,,X,,,,X
510311,MONROE MANOR,508 E MONROE AVE,BARRON,WI,54812-,(715) 537-5700,BARRON,WEISS,RAYMOND,VANYO INC,MOODY,VANYO K,MOODY,VANYO,200 BELGRADE AVE STE 1,N MANKATO,MN,54812-,(507) 387-4628,CLASS CNA (NONAMBULATORY),B,82,5100,10000,19-Jun-84,20-Oct-84,NORTHWESTERN REGION,,,,X,,,X,,,,,X,X
16453,LSS BARRON AREA RESIDENTIAL TREATMENT,806 29 1/2 AVE,BARRONETT,WI,54813,(715) 214-9062,BARRON,HAMMES,SHELLEY,"LUTHERAN SOCIAL SERVICES OF WI AND UPPER MI, INC.",LARSON,DAVID,UPP,PAULA,3003 N RICHMOND ST,APPLETON,WI,54911,(715) 214-9062,CLASS AA (AMBULATORY),M,8,3926,31412,,1-Feb-17,NORTHWESTERN REGION,,,,,,,,,,X,X,,
17063,AIN DAH ING INC,2113 13 12 1/2 AVE,CAMERON,WI,54822,(715) 458-1310,BARRON,WHITING,NATHAN,AIN DAH ING INC,WHITING,NATHAN,WHITING,NATHAN,PO BOX 142,BARRON,WI,54812,(715) 296-3840,CLASS AS (SEMIAMBULATORY),B,12,2800,3100,,16-Mar-18,NORTHWESTERN REGION,,,,,,,,,,,X,,
18165,HANSONS COUNTRY HOME,1372 24 3/8 STREET,CAMERON,WI,54822,(715) 859-2802,BARRON,SIMON,CINDIE,ASPEN RAE MANAGEMENT INC,HANSON,SUE,MARSHALL,ERIC,2637 16TH AVENUE,RICE LAKE,WI,54868,(715) 790-4727,CLASS CA (AMBULATORY),B,8,3000,6000,,20-Jul-20,NORTHWESTERN REGION,,,,,,,X,X,X,,,,X
17730,INTEGRICARE CAMERON,1372 24 3/8 ST,CAMERON,WI,54822,(715) 859-6309,BARRON,MARSHALL,JAMIE,JMAR OUTDOORS INC,MARSHALL,JAMIE,MARSHALL,JAMIE,PO BOX 335,CAMERON,WI,54822,(715) 475-8829,CLASS CS (SEMIAMBULATORY),B,8,2000,6000,1-Jan-20,,NORTHWESTERN REGION,,,,X,,,,X,X,,,X,X
18468,CHRISMARK HOME WOODARD ST,251 WOODARD ST,CHETEK,WI,54728,(715) 736-1112,BARRON,AMBORN,MICHELLE,CHRISMARK HOME LLC,BANT,STEPHEN,BANT,STEPHEN,1814 AUGUSTA ST,RICE LAKE,WI,54868,(715) 820-0383,CLASS AA (AMBULATORY),B,12,3300,7750,,9-Jun-21,NORTHWESTERN REGION,,,,,,,,X,X,,,,X
510300,AURORA RES ALTERNATIVES INC 049,1849 HWY 63,COMSTOCK,WI,54826-,(715) 822-2245,BARRON,MATTSON,JILL,AURORA RESIDENTIAL ALTERNATIVES INC,,,HAKES,HOLLY,P O BOX 68,MENOMONIE,WI,54826-,(715) 235-1839,CLASS AA (AMBULATORY),B,8,5475,5475,1-Jan-94,1-Jan-95,NORTHWESTERN REGION,,,,X,,,,X,,,,,X
17325,CAMBRIDGE SENIOR LIVING,820 BEAR PAW AVE,RICE LAKE,WI,54868,(888) 651-7220,BARRON,JOHNSON,KARLEY,CAMBRIDGE SENIOR LIVING,MICEK,HEATHER,MICEK,HEATHER,E2535 Cedar Road,Eleva,WI,54738,(888) 651-7220,CLASS CNA (NONAMBULATORY),B,68,5200,6200,8-Mar-19,1-Mar-20,NORTHWESTERN REGION,,,,X,,X,X,,,,,X,X
15820,CARE PARTNERS RICE LAKE II,1639 KERN AVENUE,RICE LAKE,WI,54868,(715) 719-0415,BARRON,SEVERSON,DEBE,CARE PARTNERS ASSISTED LIVING LLC,LINDEMANN,JASON,LINDEMANN,JASON,PO BOX 3006,OSHKOSH,WI,54903,(920) 232-1672,CLASS CNA (NONAMBULATORY),B,20,4700,5600,,10-Sep-15,NORTHWESTERN REGION,,,X,,,X,X,,,,,X,X
18303,CHRISMARK HOME JOHN STREET,320 EAST JOHN STREET,RICE LAKE,WI,54868,(715) 736-1112,BARRON,AMBORN,MICHELLE,CHRISMARK HOME LLC,BANT,STEPHEN,BANT,STEPHEN,1814 AUGUSTA STREET,RICE LAKE,WI,54868,(715) 820-0383,CLASS AA (AMBULATORY),F,7,3300,6500,,6-Jan-21,NORTHWESTERN REGION,,,,,,,,X,X,,,,X
16735,CHRISMARK HOME LLC,1627 KERN AVE,RICE LAKE,WI,54868,(715) 736-1112,BARRON,AMBORN,MICHELLE,CHRISMARK HOME LLC,BANT,KELLY,BANT,KELLY,2699 23rd ST,RICE LAKE,WI,54868,(715) 736-1112,CLASS CNA (NONAMBULATORY),F,15,2800,4650,23-Jun-17,,NORTHWESTERN REGION,,,,X,,X,,X,,,,,
9581,COUNTRY TERRACE OF WISCONSIN INC,1631 KERN AVENUE,RICE LAKE,WI,54868-,(715) 234-2012,BARRON,SEVERSON,DEB,COUNTRY TERRACE OF WISCONSIN INC,LINDEMANN,JASON E,LINDEMANN,JASON,PO BOX 3006,OSHKOSH,WI,54868-3006,(920) 232-1672,CLASS CNA (NONAMBULATORY),B,16,2652,3702,,1-Mar-02,NORTHWESTERN REGION,,,X,,,X,X,,,,,X,X
17729,INTEGRICARE RICE LAKE,315 E ST PATRICK ST,RICE LAKE,WI,54868,(715) 719-0024,BARRON,MARSHALL,JAMIE,JMAR OUTDOORS INC,MARSHALL,JAMIE,MARSHALL,JAMIE,PO BOX 335,CAMERON,WI,54822,(715) 475-8829,CLASS AA (AMBULATORY),B,8,2000,6000,1-Jan-20,,NORTHWESTERN REGION,,,,X,,,,X,X,,,X,X
14442,MAGNA HOUSE OF BARRON COUNTY LLC,615 E SAWYER ST,RICE LAKE,WI,54868-,(715) 736-6334,BARRON,RUSCH,KAREN,MAGNA HOUSE OF BARRON COUNTY LLC,,,RUSCH,KAREN,2311 20 1/2  STREET,RICE LAKE,WI,54868-,(715) 292-0497,CLASS AA (AMBULATORY),B,8,2280,4500,12-Dec-12,22-Oct-13,NORTHWESTERN REGION,,,,,,,,X,,,X,,X
