Facility ID,Facility Name,Address,City,State,Zip Code,Phone Number,County,Licensee,State Facility Type 2 Literal,State Facility Type 1 Literal,Capacity,Date Accessed
15835,Liberty Village Of Adams,550 W LIBERTY STREET,Adams,WI,53910,(608) 339-9444,Adams,COPPERLEAF MANAGEMENT GROUP INC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
15012,Birch Haven Senior Living Bears Hollow,1019 15TH AVE W,Ashland,WI,54806-,(715) 682-2534,Ashland,KELM ENTERPRISES INC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
15013,Birch Haven Senior Living Eagles Ridge,224 22ND AVE W,Ashland,WI,54806-,(715) 682-1069,Ashland,KELM ENTERPRISES INC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
15014,Birch Haven Senior Living Falcons Crest,218 22ND AVE W,Ashland,WI,54806-,(715) 682-2775,Ashland,KELM ENTERPRISES INC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
15011,Birch Haven Senior Living Timbers Edge,1500 10TH ST W,Ashland,WI,54806-,(715) 682-2506,Ashland,KELM ENTERPRISES INC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
510307,Hansens Group Home,1190 17TH ST,Barron,WI,54812-,(715) 537-5331,Barron,SUSAN HANSEN,CLASS AA (AMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
510311,Monroe Manor,508 E MONROE AVE,Barron,WI,54812-,(715) 537-5700,Barron,VANYO INC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
16453,Lss Barron Area Residential Treatment,806 29 1/2 AVE,Barronett,WI,54813,(715) 214-9062,Barron,"LUTHERAN SOCIAL SERVICES OF WI AND UPPER MI, INC.",CLASS AA (AMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
17063,Ain Dah Ing Inc,2113 13 12 1/2 AVE,Cameron,WI,54822,(715) 458-1310,Barron,AIN DAH ING INC,CLASS AS (SEMIAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
18165,Hansons Country Home,1372 24 3/8 STREET,Cameron,WI,54822,(715) 859-2802,Barron,ASPEN RAE MANAGEMENT INC,CLASS CA (AMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
17730,Integricare Cameron,1372 24 3/8 ST,Cameron,WI,54822,(715) 859-6309,Barron,JMAR OUTDOORS INC,CLASS CS (SEMIAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
18468,Chrismark Home Woodard St,251 WOODARD ST,Chetek,WI,54728,(715) 736-1112,Barron,CHRISMARK HOME LLC,CLASS AA (AMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
510300,Aurora Res Alternatives Inc 049,1849 HWY 63,Comstock,WI,54826-,(715) 822-2245,Barron,AURORA RESIDENTIAL ALTERNATIVES INC,CLASS AA (AMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
17325,Cambridge Senior Living,820 BEAR PAW AVE,Rice Lake,WI,54868,(888) 651-7220,Barron,CAMBRIDGE SENIOR LIVING,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
15820,Care Partners Rice Lake Ii,1639 KERN AVENUE,Rice Lake,WI,54868,(715) 719-0415,Barron,CARE PARTNERS ASSISTED LIVING LLC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
18303,Chrismark Home John Street,320 EAST JOHN STREET,Rice Lake,WI,54868,(715) 736-1112,Barron,CHRISMARK HOME LLC,CLASS AA (AMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
16735,Chrismark Home Llc,1627 KERN AVE,Rice Lake,WI,54868,(715) 736-1112,Barron,CHRISMARK HOME LLC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
9581,Country Terrace Of Wisconsin Inc,1631 KERN AVENUE,Rice Lake,WI,54868-,(715) 234-2012,Barron,COUNTRY TERRACE OF WISCONSIN INC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
17729,Integricare Rice Lake,315 E ST PATRICK ST,Rice Lake,WI,54868,(715) 719-0024,Barron,JMAR OUTDOORS INC,CLASS AA (AMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
14442,Magna House Of Barron County Llc,615 E SAWYER ST,Rice Lake,WI,54868-,(715) 736-6334,Barron,MAGNA HOUSE OF BARRON COUNTY LLC,CLASS AA (AMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
9905,New Beginnings Of Barron County Inc,4 CORNELL AVENUE,Rice Lake,WI,54868,(715) 736-1311,Barron,NEW BEGINNINGS OF BARRON COUNTY INC,CLASS AA (AMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
18291,Northwood Gables,1464 21ST AVENUE,Rice Lake,WI,54868,(715) 234-9415,Barron,CARE MANAGEMENT LLC,CLASS AA (AMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
13421,Our House Rice Lake Assisted Care,415 E SOUTH ST,Rice Lake,WI,54868-,(715) 236-7211,Barron,KSMS OUR HOUSE LLC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
13426,Our House Rice Lake Memory Care,413 E SOUTH ST,Rice Lake,WI,54868-,(715) 736-0347,Barron,KSMS OUR HOUSE LLC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
18417,Vista Prairie At Brentwood,633 CAMERON ROAD,Rice Lake,WI,54868,(715) 736-7400,Barron,VISTA PRAIRIE AT BRENTWOOD LLC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
12947,Woodstone Senior Living Cbrf,950 BEAR PAW AVENUE,Rice Lake,WI,54868-,(715) 736-6060,Barron,WELCOME HOME HEALTH CARE INC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
13334,Willow Manor,68290 N DISTRICT ST,Iron River,WI,54847-,(715) 372-5005,Bayfield,WILLOW MANOR INC,CLASS CS (SEMIAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
12705,Oaks At Northern Lights (The),702 BRATLEY DR,Washburn,WI,54891-,(715) 373-5621,Bayfield,NORTHERN LIGHTS SERVICES,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
17364,Courtyard At Bellevue (The),1600 HOFFMAN ROAD,Bellevue,WI,54311,,Brown,BELLEVUE ASSISTED LIVING LLC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
17309,Angels Touch Assisted Living,394 ANGELS TOUCH CT,De Pere,WI,54115,(920) 336-9137,Brown,CB HEALTHCARE MANAGEMENT LLC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
17308,Angels Touch Assisted Living,1350 ANGELS TOUCH CT,De Pere,WI,54115,(920) 336-9137,Brown,CB HEALTHCARE MANAGEMENT LLC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
17307,Angels Touch Assisted Living,400 ANGELS TOUCH CT,De Pere,WI,54115,(920) 336-9137,Brown,CB HEALTHCARE MANAGEMENT LLC,CLASS CNA (NONAMBULATORY),COMMUNITY-BASED RESIDENTIAL FACILITY,,7/6/21
