Facility ID,Facility Name,Address,City,State,Zip Code,Phone Number,County,Licensee,State Facility Type 2 Literal
15804,DOVE HEALTHCARE BARRON ASSISTED LIVING,1333 MEMORIAL DRIVE,BARRON,WI,54812,(715) 537-1151,BARRON,HALCYON SENIOR SERVICES OF BARRON LLC,CERTIFIED
17942,MEADOWBROOK AT CHETEK,708 TAINTER STREET,CHETEK,WI,54728,(715) 924-4891,BARRON,CHETEK NURSING AND REHAB LLC,CERTIFIED
18418,Vista Prairie at Brentwood,633 Cameron Road,Rice Lake,WI,54868,(715) 736-7400,BARRON,Vista Prairie at Brentwood LLC,CERTIFIED
12946,WOODSTONE SENIOR LIVING RCAC,950 BEAR PAW AVENUE,RICE LAKE,WI,54868-,(715) 736-6060,BARRON,WELCOME HOME HEALTH CARE INC,CERTIFIED
14850,BIRCH HAVEN NORTH RCAC,320 SUPERIOR AVENUE,WASHBURN,WI,54891-,(715) 373-0078,BAYFIELD,,CERTIFIED
14557,CHEQUAMEGON AREA ASSISTED LIVING,320 SUPERIOR AVE,WASHBURN,WI,54891-,(715) 292-4550,BAYFIELD,MARTINSEN INVESTMENTS,REGISTERED
14532,RENAISSANCE DE PERE,250 SOUTH 9TH ST,DE PERE,WI,54115-,(920) 983-5100,BROWN,RENNES ASSISTED LIVING INC,CERTIFIED
14683,AGE WELL CENTRE FOR LIFE ENRICHMENT,246 BERGER ST,GREEN BAY,WI,54302-,(920) 468-9174,BROWN,246 BERGER LLC,CERTIFIED
15109,ALLOUEZ SUNRISE VILLAGE RESIDENTIAL CARE APT,279 E ST JOSEPH ST,GREEN BAY,WI,54301-,(920) 430-8660,BROWN,ALLOUEZ SUNRISE SENIOR CARE LLC,REGISTERED
18348,BELLEVUE RETIREMENT COMMUNITY,1660 HOFFMAN ROAD,GREEN BAY,WI,54311,(920) 337-0771,BROWN,ENCORE WISCONSIN LLC,CERTIFIED
15436,BROOKVIEW MEADOWS,1740 CONDOR LN,GREEN BAY,WI,54313,(972) 308-8397,BROWN,CSL GREEN BAY LLC,REGISTERED
17401,MCCORMICK ASSISTED LIVING,212 IROQUOIS AVENUE,GREEN BAY,WI,54301,(920) 437-0883,BROWN,ST PAUL ELDER SERVICES INC,REGISTERED
13688,MORAINE RIDGE,2929 SAINT ANTHONY DR,GREEN BAY,WI,54311-,(920) 468-3111,BROWN,MORAINE RIDGE LLC DBA MORAINE RIDGE SENIOR LIVING,CERTIFIED
16398,OAK PARK PLACE OF GREEN BAY,421 ERIE RD,GREEN BAY,WI,54311,(920) 461-2533,BROWN,OAK PARK PLACE OF GREEN BAY LLC,REGISTERED
10347,REBEKAH HAVEN,826 GRIGNON ST,GREEN BAY,WI,54301-,(920) 435-4810,BROWN,ODD FELLOW REBEKAH HOME ASSOCIATION,CERTIFIED
10376,WAYSIDE PARKVIEW ESTATES,3838 CHURCH VIEW CT,GREENLEAF,WI,54126,(920) 864-2702,BROWN,WAYSIDE PARKVIEW ESTATES LLC,REGISTERED
15710,EMERALD BAY ASSISTED LIVING,650 CENTENNIAL CENTRE BLVD,HOBART,WI,54155,(920) 378-5839,BROWN,SCAL HOBART LLC,CERTIFIED
16148,NEW PERSPECTIVE-HOWARD,2790 ELM TREE HILL,HOWARD,WI,54313,(920) 489-8600,BROWN,HOWARD OPS LLC,CERTIFIED
10250,HOMEPLACE OF MONDOVI LLC (THE),158 EAST MAIN STREET,MONDOVI,WI,54755-,(715) 926-4777,BUFFALO,HOMEPLACE OF MONDOVI LLC (THE),CERTIFIED
15973,OAK PARK PLACE OF MENASHA,2205 MIDWAY ROAD,MENASHA,WI,54952,(920) 702-0000,CALUMET,OAK PARK PLACE OF MENASHA LLC,REGISTERED
17938,MEADOWBROOK AT BLOOMER,1900 PRIDDY STREET,BLOOMER,WI,54724,(715) 568-2503,CHIPPEWA,BLOOMER NURSING AND REHAB LLC,CERTIFIED
10254,CHIPPEWA MANOR LIVING SERVICES CORPORATION,756 IRVINE STREET,CHIPPEWA FALLS,WI,54729-,(715) 723-4437,CHIPPEWA,CHIPPEWA MANOR HOME HEALTH CARE CORP,REGISTERED
11498,COMFORTS OF HOME CHIPPEWA FALLS RCAC,1224 PUMPHOUSE RD,CHIPPEWA FALLS,WI,54729-,(715) 726-2527,CHIPPEWA,CHIPPEWA FALLS RCAC LLC,CERTIFIED
14672,WISSOTA PLACE,2801 COUNTY HWY 1,CHIPPEWA FALLS,WI,54729-,(715) 720-9710,CHIPPEWA,WISSOTA SPRINGS AID OPCO LLC,REGISTERED
11165,HOMEPLACE OF STANLEY LLC (THE),225 E FOURTH AVE,STANLEY,WI,54768-,(715) 644-2136,CHIPPEWA,,CERTIFIED
17403,COLBY RETIREMENT COMMUNITY,510 W WAUSAU STREET,COLBY,WI,54421,(715) 223-1612,CLARK,BRANDYWOOD INVESTMENTS INC,CERTIFIED
17129,NEILLSVILLE RETIREMENT COMMUNITY,1211 LLOYD ST,NEILLSVILLE,WI,54456,(715) 743-6700,CLARK,ASHFORD MARTIN CORPORATION,CERTIFIED
13002,TRADITIONS ASSISTED LIVING,418 E STANLEY STREET,THORP,WI,54771-,(715) 456-4269,CLARK,B K ANDERSON LLC,REGISTERED
13097,MEADOWS OF FALL RIVER (THE),101 HOMETOWN AVE,FALL RIVER,WI,53932-,(920) 484-6171,COLUMBIA,"THE MEADOWS OF FALL RIVER, LLC",CERTIFIED
15503,HERITAGE HOUSE OF PORTAGE,2685 AIRPORT ROAD,PORTAGE,WI,53901,(608) 745-3312,COLUMBIA,SHA MSL PORTAGE OPCO LLC,CERTIFIED
13662,OUR HOUSE PORTAGE RCAC,215 NORTHRIDGE DR,PORTAGE,WI,53901-,(608) 291-0550,COLUMBIA,KSMS OUR HOUSE LLC,CERTIFIED
12866,RESIDENCE AT BLUFF HAVEN,720 S FREMONT ST,PRAIRIE DU CHIEN,WI,53821-,(608) 326-3200,CRAWFORD,COMMUNITY HEALTH SERVICES CORPORATION,CERTIFIED
18104,DRUMLIN RESERVE,139 EAST REYNOLDS STREET,COTTAGE GROVE,WI,53527,(608) 839-8085,DANE,CAPRI COMMUNITIES LLC,CERTIFIED
17051,MILESTONE SENIOR LIVING MARKET ST,1870 MARKET ST,CROSS PLAINS,WI,53528,(608) 413-0451,DANE,ABILIT HOLDINGS CROSS PLAINS LLC,CERTIFIED
17769,LEGACY OF DEFOREST (THE),6639 PEDERSON CROSSING BLVD,DEFOREST,WI,53532,(608) 807-2888,DANE,PARK VISTA SENIOR HOUSING MANAGEMENT LLC,REGISTERED
18349,PARKSIDE ASSISTED LIVING,6902 PARKSIDE CIRCLE,DEFOREST,WI,53532,(608) 846-2101,DANE,ENCORE WISCONSIN LLC,CERTIFIED
10287,CHAPEL VALLEY II,5781 CHAPEL VALLEY ROAD,FITCHBURG,WI,53711-,(608) 276-3449,DANE,CHAPEL VALLEY HOUSING II LLC,REGISTERED
14814,WATERFORD AT FITCHBURG (THE),5440 CADDIS BEND,FITCHBURG,WI,53711,(608) 270-9200,DANE,CSL FITCHBURG MANAGMENT LLC,REGISTERED
