Facility ID,Facility Name,Street,City,State,Zip Code,Phone Number,County,Contact Last Name,Contact First Name,Corporate Name,Licensee Last Name,Licensee First Name,Mailing Contact Last Name,Mailing Contact First Name,Mailing Street,Mailing City,Mailing State,Mailing Zip Code,Licensee Phone Number,Class,Gender,Capacity,Low Rate,High Rate,Date Probationary Issued,Date Regular Issued,Region,Public Funding,HCBS Compliant
15804,DOVE HEALTHCARE BARRON ASSISTED LIVING,1333 MEMORIAL DRIVE,BARRON,WI,54812,(715) 537-1151,BARRON,KILEY,JEREMY,HALCYON SENIOR SERVICES OF BARRON LLC,DAVIDSON,TOMMY,KILEY,JEREMY,1333 MEMORIAL DRIVE,BARRON,WI,54812,(423) 227-5957,CERTIFIED,B,40,572,1467,,1-Oct-15,NORTHWESTERN REGION,X,
17942,MEADOWBROOK AT CHETEK,708 TAINTER STREET,CHETEK,WI,54728,(715) 924-4891,BARRON,BOHL,JENNIFER,CHETEK NURSING AND REHAB LLC,PUKSHANSKY,ROSTISLAV,BOHL,JENNIFER,708 TAINTER STREET,CHETEK,WI,54728,(847) 942-7575,CERTIFIED,B,14,2500,4500,,1-Dec-19,NORTHWESTERN REGION,,X
18418,Vista Prairie at Brentwood,633 Cameron Road,Rice Lake,WI,54868,(715) 736-7400,BARRON,NELSON,TRICIA,Vista Prairie at Brentwood LLC,Bettendorf,James,Bettendorf,James,7100 Northland Circle North,Brooklyn Park,MN,55428,(952) 837-0540,CERTIFIED,,28,2944,5000,,11-Mar-21,NORTHWESTERN REGION,,
12946,WOODSTONE SENIOR LIVING RCAC,950 BEAR PAW AVENUE,RICE LAKE,WI,54868-,(715) 736-6060,BARRON,LOISELLE,AUDREY,WELCOME HOME HEALTH CARE INC,,,WORK,JACOB,PO BOX 172,HUTCHINSON,MN,54868-,(320) 247-6051,CERTIFIED,B,43,2277,3085,,1-Sep-09,NORTHWESTERN REGION,,
14850,BIRCH HAVEN NORTH RCAC,320 SUPERIOR AVENUE,WASHBURN,WI,54891-,(715) 373-0078,BAYFIELD,KELM,DALE,,KELM,DALE,KELM,DALE,218 22ND AVE W,ASHLAND,WI,54891-,(715) 331-9148,CERTIFIED,B,13,2400,4800,,23-Dec-13,NORTHWESTERN REGION,,X
14557,CHEQUAMEGON AREA ASSISTED LIVING,320 SUPERIOR AVE,WASHBURN,WI,54891-,(715) 292-4550,BAYFIELD,CARBON,RICH,MARTINSEN INVESTMENTS,,,CARBON,RICH,320 SUPERIOR AVE,WASHBURN,WI,54891-,(715) 682-8811,REGISTERED,B,12,2226,2650,,28-Feb-13,NORTHWESTERN REGION,,
14532,RENAISSANCE DE PERE,250 SOUTH 9TH ST,DE PERE,WI,54115-,(920) 983-5100,BROWN,MILLER,MICHAEL,RENNES ASSISTED LIVING INC,,,MILLER,MICHAEL,250 SOUTH 9TH ST,DE PERE,WI,54115-,(715) 582-2200,CERTIFIED,B,75,3025,5350,,14-May-13,NORTHEASTERN REGION,,
14683,AGE WELL CENTRE FOR LIFE ENRICHMENT,246 BERGER ST,GREEN BAY,WI,54302-,(920) 468-9174,BROWN,LEONHARD,MICHAEL,246 BERGER LLC,,,OLIVA,MARIA,30 S WACKER DR STE 1300,CHICAGO,IL,54302-1284,(312) 837-0701,CERTIFIED,B,59,2176,2409,,2-Jul-13,NORTHEASTERN REGION,X,X
15109,ALLOUEZ SUNRISE VILLAGE RESIDENTIAL CARE APT,279 E ST JOSEPH ST,GREEN BAY,WI,54301-,(920) 430-8660,BROWN,BEYER,ELISABETH,ALLOUEZ SUNRISE SENIOR CARE LLC,,,BEYER,ELISABETH,279 E ST JOSEPH ST,GREEN BAY,WI,54301-,(920) 337-2450,REGISTERED,B,50,,,,30-Sep-14,NORTHEASTERN REGION,,
18348,BELLEVUE RETIREMENT COMMUNITY,1660 HOFFMAN ROAD,GREEN BAY,WI,54311,(920) 337-0771,BROWN,REGALA,MARY,ENCORE WISCONSIN LLC,OSTROM,THOMAS,OSTROM,THOMAS,101 N WACKER DRIVE STE 616,CHICAGO,IL,60606,(312) 623-0884,CERTIFIED,B,126,2000,7000,,15-Feb-21,NORTHEASTERN REGION,,
15436,BROOKVIEW MEADOWS,1740 CONDOR LN,GREEN BAY,WI,54313,(972) 308-8397,BROWN,HUTCHISON,KIRSTEN,CSL GREEN BAY LLC,BEATHARD,DAVID,HUTCHISON,KIRSTEN,1740 CONDOR LANE,GREEN BAY,WI,54313,(972) 308-8387,REGISTERED,B,77,2995,5275,,13-Jan-15,NORTHEASTERN REGION,,
17401,MCCORMICK ASSISTED LIVING,212 IROQUOIS AVENUE,GREEN BAY,WI,54301,(920) 437-0883,BROWN,SCHAD,HANNAH,ST PAUL ELDER SERVICES INC,NORDER,SONDRA,SCHAD,HANNAH,316 E 14TH STREET,KAUKAUNA,WI,54310,(920) 766-6020,REGISTERED,B,16,2300,4500,,8-Feb-19,NORTHEASTERN REGION,,
13688,MORAINE RIDGE,2929 SAINT ANTHONY DR,GREEN BAY,WI,54311-,(920) 468-3111,BROWN,RYCZEK,LORRIE,MORAINE RIDGE LLC DBA MORAINE RIDGE SENIOR LIVING,KLEIN,MICHAEL,KLEIN,MICHAEL,7366 N LINCOLN AVE,LINCOLNWOOD,IL,54311-,(773) 851-1328,CERTIFIED,B,75,1250,3750,,29-Mar-11,NORTHEASTERN REGION,X,X
16398,OAK PARK PLACE OF GREEN BAY,421 ERIE RD,GREEN BAY,WI,54311,(920) 461-2533,BROWN,CORPUS,JOHN,OAK PARK PLACE OF GREEN BAY LLC,FRANK,SCOTT,BASCHE,CHAD,719 JUPITER DR,MADISON,WI,53718,(608) 279-0378,REGISTERED,B,36,,,,17-Apr-17,NORTHEASTERN REGION,,
10347,REBEKAH HAVEN,826 GRIGNON ST,GREEN BAY,WI,54301-,(920) 435-4810,BROWN,STOCK,SHERRI,ODD FELLOW REBEKAH HOME ASSOCIATION,,,EVERETT,CHARLENE,1207 S JACKSON ST,GREEN BAY,WI,54301-,(920) 437-6523,CERTIFIED,B,20,3727,5554,,1-Feb-98,NORTHEASTERN REGION,,X
10376,WAYSIDE PARKVIEW ESTATES,3838 CHURCH VIEW CT,GREENLEAF,WI,54126,(920) 864-2702,BROWN,ROFFERS,ERIC,WAYSIDE PARKVIEW ESTATES LLC,,,KASTER,DAWN,3838 CHURCH VIEW CT,GREENLEAF,WI,54126,(920) 864-2702,REGISTERED,,18,2866,4678,,8-Sep-03,NORTHEASTERN REGION,,
