Facility Name,Legal Name,Administrator,State Key,Operation Status,Opened,Closed,Physical Address,Physical Address 2,City,State,Zip,County,Phone Number,FAX,Facility Type,Sub Type,Abbreviation,License Type,License Number,License Effective,License Expires,Licensed Beds,Certified Beds,SSI Beds,Total Beds,Medicare,Medicaid,SSI,Longitude,Latitude
ANN'S COUNTRY RETREAT,"ANN'S COUNTRY RETREAT, INC.",,507357,Active,5/30/01,,1439 WASHINGTON PIKE,,Wellsburg,WV,26070,Brooke,(304)737-0941,(304)737-3334,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507357,9/25/20,9/25/21,0,22,0,22,No,No,No,,
ARTHUR B HODGES CENTER AT EDGEWOOD SUMMIT (ALR/ALZ,"EDGEWOOD SUMMIT, INC. DBA ARTHUR B HODGES CENTER AT EDGEWOOD SUMMIT (ALR/ALZ",,507582,Active,12/5/13,,300 BAKER LANE,,Charleston,WV,25302,Kanawha,No Phone,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507582,12/5/20,12/5/21,0,18,0,18,No,No,No,,
ASSISTED LIVING AT EVERGREEN,"PERSONAL CARE AT EVERGREEN, INC. DBA ASSITED LIVING AT EVERGREEN, INC.",,507441,Active,4/26/01,,3705 COLLINS FERRY ROAD,,Morgantown,WV,26501,Monongalia,(304)598-8401,(304)598-8402,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507441,11/27/20,11/27/21,0,48,0,48,No,No,No,,
AUTUMN WAY ASSISTED LIVING HOME,"AUTUMN WAY, INC.",,506035,Active,4/25/02,,411 NICHOLAS STREET,,RUPERT,WV,25984,Greenbrier,(304)392-5566,(304)392-5605,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506035,7/27/20,7/27/21,0,24,4,24,No,No,Yes,,
BELLAIRE AT DEVONSHIRE (ALR/ALZ),"Devonshire AL Operations, LLC dba Bellaire at Devonshire",,507585,Active,2/23/15,,5 BEXLEY DRIVE,,Scott Depot,WV,25560,Putnam,(304)760-5290,(304)757-1274,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,,,,,0,105,0,105,No,No,No,,
BEULAHLAND,BEULAHLAND,,506134,Active,11/1/98,,4706 KNOTTSVILLE RD,,Grafton,WV,26354,Taylor,(304)265-2874,(304)265-2862,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506134,1/30/21,1/30/22,0,26,26,26,No,No,Yes,,
"BRALEY CARE HOMES, INC I I I (ALR/ALZ)","BRALEY CARE HOMES, INC.  I I I (ALR/ALZ)",,507546,Active,11/17/08,,6192 US 60,,Hurricane,WV,25526,Putnam,(304)201-3677,(304)201-3678,Assisted Living Residence,SMALL ASSISTED LIVING,SALR,Annual,507546,11/12/20,11/12/21,0,16,0,16,No,No,No,,
BROOKDALE CHARLESTON GARDENS (ALR/ALZ),Emeritus Corporation Tradename Brookdale Charleston Gardens (ALR-ALZ),,507445,Active,8/7/01,,800 ASSOCIATION DRIVE,,Charleston,WV,25311,Kanawha,(304)343-6600,(304)343-5975,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,507445,12/28/20,12/28/21,0,121,0,121,No,No,No,,
CARING HANDS & LOVING HEART,GRAYSON CARING HANDS INC TRADENAME CARING HANDS & LOVING HEART,,507523,Active,2/12/07,,828 WASHINGTON AVE,,Huntington,WV,25704,Cabell,(304)529-0466,(304)529-0466,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,,,,,0,18,0,18,No,No,No,,
CEDAR GROVE ASSISTED LIVING,"GREENWICH INVESTORS CEDAR GROVE OPERATOR , LLC TRADENAME CEDAR GROVE ASSISTED LI",,506005,Active,9/22/99,,110 NICOLETTE ROAD,,PARKERSBURG,WV,26104,Wood,(304)424-6023,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,LALR,Annual,506005,8/12/20,8/12/21,0,85,3,85,No,No,Yes,,
