Facility Name,Licensee,Facility ID,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,State Facility Type 2 Literal,License Number,Capacity,Date Accessed
The Ridgemont At Edgewood Summit,"EDGEWOOD SUMMIT, INC. DBA THE RIDGEMONT AT EDGWOOD SUMMIT",504002,300 BAKER LANE,Charleston,WV,25302,Kanawha,(304)346-2323,RESIDENTIAL CARE COMMUNITY,RESIDENTIAL CARE COMMUNITY,504002.0,42,7/6/21
Ann'S Country Retreat,"ANN'S COUNTRY RETREAT, INC.",507357,1439 WASHINGTON PIKE,Wellsburg,WV,26070,Brooke,(304)737-0941,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507357.0,22,7/6/21
Arthur B Hodges Center At Edgewood Summit (Alr/Alz,"EDGEWOOD SUMMIT, INC. DBA ARTHUR B HODGES CENTER AT EDGEWOOD SUMMIT (ALR/ALZ",507582,300 BAKER LANE,Charleston,WV,25302,Kanawha,No Phone,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507582.0,18,7/6/21
Assisted Living At Evergreen,"PERSONAL CARE AT EVERGREEN, INC. DBA ASSITED LIVING AT EVERGREEN, INC.",507441,3705 COLLINS FERRY ROAD,Morgantown,WV,26501,Monongalia,(304)598-8401,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507441.0,48,7/6/21
Autumn Way Assisted Living Home,"AUTUMN WAY, INC.",506035,411 NICHOLAS STREET,Rupert,WV,25984,Greenbrier,(304)392-5566,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506035.0,24,7/6/21
Bellaire At Devonshire (Alr/Alz),"DEVONSHIRE AL OPERATIONS, LLC DBA BELLAIRE AT DEVONSHIRE",507585,5 BEXLEY DRIVE,Scott Depot,WV,25560,Putnam,(304)760-5290,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,,105,7/6/21
Beulahland,BEULAHLAND,506134,4706 KNOTTSVILLE RD,Grafton,WV,26354,Taylor,(304)265-2874,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506134.0,26,7/6/21
"Braley Care Homes, Inc I I I (Alr/Alz)","BRALEY CARE HOMES, INC.  I I I (ALR/ALZ)",507546,6192 US 60,Hurricane,WV,25526,Putnam,(304)201-3677,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507546.0,16,7/6/21
Brookdale Charleston Gardens (Alr/Alz),EMERITUS CORPORATION TRADENAME BROOKDALE CHARLESTON GARDENS (ALR-ALZ),507445,800 ASSOCIATION DRIVE,Charleston,WV,25311,Kanawha,(304)343-6600,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507445.0,121,7/6/21
Caring Hands & Loving Heart,GRAYSON CARING HANDS INC TRADENAME CARING HANDS & LOVING HEART,507523,828 WASHINGTON AVE,Huntington,WV,25704,Cabell,(304)529-0466,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,,18,7/6/21
Cedar Grove Assisted Living,"GREENWICH INVESTORS CEDAR GROVE OPERATOR , LLC TRADENAME CEDAR GROVE ASSISTED LI",506005,110 NICOLETTE ROAD,Parkersburg,WV,26104,Wood,(304)424-6023,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506005.0,85,7/6/21
Central Ave Assisted Living,CENTRAL AVE ASSISTED LIVING,507512,1046 CENTRAL AVE,Charleston,WV,25302,Kanawha,(304)414-0135,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507512.0,8,7/6/21
Chateau Grove Senior Living,CHATEAU GROVE INC.,506007,#6 CHATEAU GROVE LANE,Barboursville,WV,25504,Cabell,(304)736-3443,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506007.0,80,7/6/21
"Clark'S Christian Care, Inc","CLARK'S CHRISTIAN CARE, INC.",507337,145 WALNUT STREET,East Bank,WV,25067,Kanawha,(304)595-4171,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507337.0,12,7/6/21
Concord I,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",507500,2218 WASHINGTON ST E,Charleston,WV,25301,Kanawha,(304)342-5042,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,,8,7/6/21
Concord I I,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC., DBA CONCORD I I",507501,5511 NOYES AVENUE,Charleston,WV,25304,Kanawha,(304)925-7728,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,,8,7/6/21
"Country View Assisted Living, Inc","COUNTRY VIEW ASSISTED LIVING, INC",507508,2925 SENECA TRAIL SOUTH,Peterstown,WV,24963,Monroe,(304)753-4300,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507508.0,42,7/6/21
Country Villa Care Inc,COUNTRY VILLA CARE INC,507347,78 HIGH STREET,Buffalo,WV,25033,Putnam,(304)937-4110,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507347.0,13,7/6/21
"Countryside Assisted Living, Llc","COUNTRYSIDE ASSISTED LIVING, LLC",507547,1228 BERKELEY STATION ROAD,Martinsburg,WV,25404,Berkeley,(304)596-6227,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507547.0,16,7/6/21
Cypress Manor Assisted Living,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",507565,1436 7TH AVENUE,Huntington,WV,25701,Cabell,(304)399-1275,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,507565.0,8,7/6/21
Dignity Assisted Living,DIGNITY ASSISTED LIVING,WV506024,557 MAIN STREET,Chapmanville,WV,25508,Logan,No Phone,ASSISTED LIVING RESIDENCE,SMALL ASSISTED LIVING,506024.0,16,7/6/21
Elmcroft Of  Maplewood,BISHOP MAPLEWOOD LESSEE LLC TRADENAME ELMCROFT OF MAPLEWOOD,507567,1000 S MAPLEWOOD DRIVE,Bridgeport,WV,26330,Harrison,(304)848-0200,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507567.0,56,7/6/21
Elmcroft Of Martinsburg,"EC OPCO MARTINSBURG, LLC",507396,200 GLOUCESTER DRIVE,Martinsburg,WV,25401,Berkeley,(304)267-5800,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,507396.0,97,7/6/21
Elmcroft Of Teays Valley (Alr/Alz),"EC OPCO TEAYS VALLEY, LLC TRADENAME ELMCROFT OF TEAYS VALLEY",506138,4000 OUTLOOK DRIVE,Hurricane,WV,25526,Putnam,(304)757-4778,ASSISTED LIVING RESIDENCE,LARGE ASSISTED LIVING,506138.0,77,7/6/21
