Facility Name,Licensee,Facility ID,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,State Facility Type 2 Literal,License Number,Capacity,Medicare,Medicaid
THE RIDGEMONT AT EDGEWOOD SUMMIT,"EDGEWOOD SUMMIT, INC. DBA THE RIDGEMONT AT EDGWOOD SUMMIT",504002,300 BAKER LANE,Charleston,WV,25302,Kanawha,(304)346-2323,Residential Care Community,RESIDENTIAL CARE COMMUNITY,504002,42,No,No
ANN'S COUNTRY RETREAT,"ANN'S COUNTRY RETREAT, INC.",507357,1439 WASHINGTON PIKE,Wellsburg,WV,26070,Brooke,(304)737-0941,Assisted Living Residence,LARGE ASSISTED LIVING,507357,22,No,No
ARTHUR B HODGES CENTER AT EDGEWOOD SUMMIT (ALR/ALZ,"EDGEWOOD SUMMIT, INC. DBA ARTHUR B HODGES CENTER AT EDGEWOOD SUMMIT (ALR/ALZ",507582,300 BAKER LANE,Charleston,WV,25302,Kanawha,No Phone,Assisted Living Residence,LARGE ASSISTED LIVING,507582,18,No,No
ASSISTED LIVING AT EVERGREEN,"PERSONAL CARE AT EVERGREEN, INC. DBA ASSITED LIVING AT EVERGREEN, INC.",507441,3705 COLLINS FERRY ROAD,Morgantown,WV,26501,Monongalia,(304)598-8401,Assisted Living Residence,LARGE ASSISTED LIVING,507441,48,No,No
AUTUMN WAY ASSISTED LIVING HOME,"AUTUMN WAY, INC.",506035,411 NICHOLAS STREET,RUPERT,WV,25984,Greenbrier,(304)392-5566,Assisted Living Residence,LARGE ASSISTED LIVING,506035,24,No,No
BELLAIRE AT DEVONSHIRE (ALR/ALZ),"Devonshire AL Operations, LLC dba Bellaire at Devonshire",507585,5 BEXLEY DRIVE,Scott Depot,WV,25560,Putnam,(304)760-5290,Assisted Living Residence,LARGE ASSISTED LIVING,,105,No,No
BEULAHLAND,BEULAHLAND,506134,4706 KNOTTSVILLE RD,Grafton,WV,26354,Taylor,(304)265-2874,Assisted Living Residence,LARGE ASSISTED LIVING,506134,26,No,No
"BRALEY CARE HOMES, INC I I I (ALR/ALZ)","BRALEY CARE HOMES, INC.  I I I (ALR/ALZ)",507546,6192 US 60,Hurricane,WV,25526,Putnam,(304)201-3677,Assisted Living Residence,SMALL ASSISTED LIVING,507546,16,No,No
BROOKDALE CHARLESTON GARDENS (ALR/ALZ),Emeritus Corporation Tradename Brookdale Charleston Gardens (ALR-ALZ),507445,800 ASSOCIATION DRIVE,Charleston,WV,25311,Kanawha,(304)343-6600,Assisted Living Residence,LARGE ASSISTED LIVING,507445,121,No,No
CARING HANDS & LOVING HEART,GRAYSON CARING HANDS INC TRADENAME CARING HANDS & LOVING HEART,507523,828 WASHINGTON AVE,Huntington,WV,25704,Cabell,(304)529-0466,Assisted Living Residence,LARGE ASSISTED LIVING,,18,No,No
CEDAR GROVE ASSISTED LIVING,"GREENWICH INVESTORS CEDAR GROVE OPERATOR , LLC TRADENAME CEDAR GROVE ASSISTED LI",506005,110 NICOLETTE ROAD,PARKERSBURG,WV,26104,Wood,(304)424-6023,Assisted Living Residence,LARGE ASSISTED LIVING,506005,85,No,No
CENTRAL AVE ASSISTED LIVING,CENTRAL AVE ASSISTED LIVING,507512,1046 CENTRAL AVE,Charleston,WV,25302,Kanawha,(304)414-0135,Assisted Living Residence,SMALL ASSISTED LIVING,507512,8,No,No
CHATEAU GROVE SENIOR LIVING,CHATEAU GROVE INC.,506007,#6 CHATEAU GROVE LANE,Barboursville,WV,25504,Cabell,(304)736-3443,Assisted Living Residence,LARGE ASSISTED LIVING,506007,80,No,No
"CLARK'S CHRISTIAN CARE, INC","CLARK'S CHRISTIAN CARE, Inc.",507337,145 WALNUT STREET,EAST BANK,WV,25067,Kanawha,(304)595-4171,Assisted Living Residence,SMALL ASSISTED LIVING,507337,12,No,No
CONCORD I,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",507500,2218 WASHINGTON ST E,Charleston,WV,25301,Kanawha,(304)342-5042,Assisted Living Residence,SMALL ASSISTED LIVING,,8,No,No
CONCORD I I,"Prestera Center for Mental Health Services, Inc., dba Concord I I",507501,5511 NOYES AVENUE,Charleston,WV,25304,Kanawha,(304)925-7728,Assisted Living Residence,SMALL ASSISTED LIVING,,8,No,No
"COUNTRY VIEW ASSISTED LIVING, INC","COUNTRY VIEW ASSISTED LIVING, INC",507508,2925 SENECA TRAIL SOUTH,Peterstown,WV,24963,Monroe,(304)753-4300,Assisted Living Residence,LARGE ASSISTED LIVING,507508,42,No,No
COUNTRY VILLA CARE INC,COUNTRY VILLA CARE INC,507347,78 HIGH STREET,BUFFALO,WV,25033,Putnam,(304)937-4110,Assisted Living Residence,SMALL ASSISTED LIVING,507347,13,No,No
"COUNTRYSIDE ASSISTED LIVING, LLC","COUNTRYSIDE ASSISTED LIVING, LLC",507547,1228 BERKELEY STATION ROAD,MARTINSBURG,WV,25404,Berkeley,(304)596-6227,Assisted Living Residence,SMALL ASSISTED LIVING,507547,16,No,No
CYPRESS MANOR ASSISTED LIVING,"PRESTERA CENTER FOR MENTAL HEALTH SERVICES, INC.",507565,1436 7TH AVENUE,HUNTINGTON,WV,25701,Cabell,(304)399-1275,Assisted Living Residence,SMALL ASSISTED LIVING,507565,8,No,No
