State Facility Type 1 Literal,Email Address,License Number,Facility Name,Licensee,Address,City,Zip Code,County,Capacity,Phone Number,State
ASSISTED LIVING FACILITY,beyondhomewy@gmail.com,P-655,Beyond Homes Assisted Living ,,153 DOYLE CHILD CIR.,Afton,83110,Lincoln,13,307-885-2263,WY
ASSISTED LIVING FACILITY,renee@agapemanor.com,15005,Agape Manor Inc,,830 NORTH MAIN ST,Buffalo,82834,Johnson,26,307-684-5504,WY
ASSISTED LIVING FACILITY,bruce.allison@wyo.gov,15006,Veterans' Home Of Wyoming,,700 VETERANS' LANE,Buffalo,82834,Johnson,117,307-684-5511,WY
ASSISTED LIVING FACILITY,willowcreekofbuffalo@gmail.com,15259,Willow Creek Homes Of  Buffalo,,1 NORTH KLONDIKE,Buffalo,82834,Johnson,15,307-684-8669,WY
ASSISTED LIVING FACILITY,administrator@gardensquarecasper.com,15007,Garden Square Of Casper,CASPER ASSISTED LIVING LLC,1950 SOUTH BEVERLY ST,Casper,82609,Natrona,50,307-472-1153,WY
ASSISTED LIVING FACILITY,kandus.brooks@edgewoodvista.com,15254,Edgewood Meadow Wind ,EMG CASPER MW LLC,3955 EAST 12TH ST,Casper,82609,Natrona,155,307-577-3045,WY
ASSISTED LIVING FACILITY,heather.froling@edgewoodvista.com,15261,Park Place Assisted Living Community,EMG CASPER PP LLC,1930 EAST 12TH ST,Casper,82601,Natrona,116,307-265-2273,WY
ASSISTED LIVING FACILITY,kenyne@mountainplazaal.com,15009,Mountain Plaza Assisted Living,EP-MPAL LLC,4154 TALON DR,Casper,82604,Natrona,62,307-232-0100,WY
ASSISTED LIVING FACILITY,opspecialist@primroseretirement.com,15011,Primrose Retirement Community Of Casper,TSMM MANAGEMENT LLC,1865 SOUTH BEVERLY ST,Casper,82609,Natrona,42,307-266-4800,WY
ASSISTED LIVING FACILITY,leslie.milliken@edgewoodvista.com,15264,Aspen Wind Assisted Living Community,EMG CHEYENNE AW LLC,4010 NORTH COLLEGE DR,Cheyenne,82001,Laramie,94,307-778-9511,WY
ASSISTED LIVING FACILITY,msturman@centurypa.com,15169,Pointe Frontier Retirement Community,CHEYENNE RETIREMENT INVESTORS LIMITED PARTNERSHIP,1406 PRAIRIE AVE,Cheyenne,82009,Laramie,50,307-635-6953,WY
ASSISTED LIVING FACILITY,opspecialist@primroseretirement.com,15013,Primrose Retirement Community Of Cheyenne,CHEYENNE RETIREMENT LLC,1530 DOROTHY LANE,Cheyenne,82009,Laramie,45,307-634-1530,WY
ASSISTED LIVING FACILITY,amy.brinley@edgewoodmail.com,15263,Sierra Hills Assisted Living Community,EMG CHEYENNE SH LLC,4606 NORTH COLLEGE DR,Cheyenne,82001,Laramie,100,307-638-7798,WY
ASSISTED LIVING FACILITY,tcrawford@liveatthecreek.com,P-951,Cottonwood Creek Of Cheyenne,,6800 FAITH DRIVE,Cheyenne,82009,Laramie ,16,307-514-1472,WY
ASSISTED LIVING FACILITY,koberosler@absarokasl.com,15349,Absaroka Senior Living,,2401 COUGAR AVE,Cody,82414,Park,51,307-527-7080,WY
