State Facility Type 1 Literal,"Name
Physical Address","Phone
Fax","County
Fiscal Year End",# of Licensed Beds,Email Address,License Number
ALF,"Beyond Homes Assisted Living 
153 Doyle Child Cir.
Afton WY 83110
","307-885-2263
307-885-2264","Lincoln
12/31","13
Level I",beyondhomewy@gmail.com,P-655
ALF,"Agape Manor Inc
830 North Main St
Buffalo WY 82834
","307-684-5504
307-684-2838","Johnson
12/31","26
Level I",renee@agapemanor.com,15005
ALF,"Veterans' Home of Wyoming
700 Veterans' Lane
Buffalo WY 82834
","307-684-5511
307-684-7636","Johnson
06/30","117
Level I",bruce.allison@wyo.gov,15006
ALF,"Willow Creek Homes of  Buffalo
1 North Klondike
Buffalo WY 82834
","307-684-8669
307-684-8669","Johnson
12/31","15
Level I",willowcreekofbuffalo@gmail.com,15259
ALF,"Casper Assisted Living LLC
dba/Garden Square of Casper
1950 South Beverly St
Casper WY 82609
","307-472-1153
307-472-1123","Natrona
12/31","50
Level I",administrator@gardensquarecasper.com,15007
ALF,"EMG Casper MW LLC
dba/Edgewood Meadow Wind 
3955 East 12th St
Casper WY 82609
","307-577-3045
307-577-3047","Natrona
04/30","155 Total
Level I (109) 
Level II (46)",kandus.brooks@edgewoodvista.com,15254
ALF,"EMG Casper PP LLC
dba/Park Place Assisted Living Community
1930 East 12th St
Casper WY 82601
","307-265-2273
307-265-5384","Natrona
04/30","116
Level I",heather.froling@edgewoodvista.com,15261
ALF,"EP-MPAL LLC
dba/Mountain Plaza Assisted Living
4154 Talon Dr
Casper WY 82604
","307-232-0100
307-472-1017","Natrona
12/31","62 Total
Level I (48)
Level II (14)",kenyne@mountainplazaal.com,15009
ALF,"TSMM Management LLC
dba/Primrose Retirement Community of Casper
1865 South Beverly St
Casper WY 82609
","307-266-4800
307-266-4853","Natrona
12/31","42
Level I",opspecialist@primroseretirement.com,15011
ALF,"EMG Cheyenne AW LLC
dba/Aspen Wind Assisted Living Community
4010 North College Dr
Cheyenne WY 82001
","307-778-9511
307-772-0977","Laramie
04/30","94 Total
Level I (55) 
Level II (39)",leslie.milliken@edgewoodvista.com,15264
ALF,"Cheyenne Retirement Investors Limited Partnership
dba/Pointe Frontier Retirement Community
1406 Prairie Ave
Cheyenne WY 82009
","307-635-6953
307-635-3566","Laramie
12/31","50
Level I",msturman@centurypa.com,15169
ALF,"Cheyenne Retirement LLC
dba/Primrose Retirement Community of Cheyenne
1530 Dorothy Lane
Cheyenne WY 82009
","307-634-1530
307-634-4533","Laramie
12/31","45
Level I",opspecialist@primroseretirement.com,15013
ALF,"EMG Cheyenne SH LLC
dba/Sierra Hills Assisted Living Community
4606 North College Dr
Cheyenne WY 82001
","307-638-7798
307-638-7919","Laramie
04/30","100
Level I",amy.brinley@edgewoodmail.com,15263
ALF,"Cottonwood Creek of Cheyenne
6800 Faith Drive
Cheyenne WY 82009","307-514-1472
307-514-1485","Laramie 
12/31","16
Level II (16)",tcrawford@liveatthecreek.com,P-951
ALF,"Absaroka Senior Living
2401 Cougar Ave
Cody WY 82414
","307-527-7080
307-527-7084","Park
12/31","51
Level I",koberosler@absarokasl.com,15349
ALF,"Dubois Assisted Living Inc
dba/Warm Valley Lodge Assisted Living
5643 US Hwy 26
Dubois WY 82513
","307-455-2645
307-455-2647","Fremont
12/31","25
Level I",jenmc@wyoming.com,15016
ALF,"Mountain Lodge LLC
1110 Birch Street
Douglas WY 82633
","307-358-1897
307-358-8320","Converse
12/31","Total 34
Level l (24)
Level ll (10) ",aanderson@hmsmt.com,15303
ALF,"Compassionate Journey LLC
624 Twin Ridge  Ave
Evanston WY 82930
","307-444-8969
307-444-2286","Uinta
12/31","16
Level I",joy@cjrny.com,15352
ALF,"Willow Creek Homes of Evanston
1949 West Uinta St
Evanston WY 82930
","307-444-4483
307-444-4484","Uinta
12/31","16
Level I",willowcreekofevanston@gmail.com,15260
ALF,"Gillette Retirement LLC
dba/Primrose Retirement Community of Gillette
921 Mountain Meadow Lane
Gillette WY 82716
","307-682-8800
307-670-9030","Campbell
12/31","45
Level I",opspecialist@primroseretirement.com,15019
ALF,"Mission at The Villa
1445 Uinta Dr
Green River WY 82935
","307-872-4690
307-872-4653","Sweetwater
12/31","27
Level 1",bobbijo.drozd@missionhealthservices.org,15274
ALF,"Showboat Retirement Center
150 Wyoming St
Lander WY 82520
","307-332-6788
307-332-2175","Fremont
12/31","50
Level I",arikaalong@gmail.com,15021
ALF,"EMG Laramie LLC
dba/Spring Wind Assisted Living Community
1072 North 22nd St
Laramie WY 82072
","307-755-5811
307-721-0478","Albany
04/30","117 Total
Level I (96) 
Level II (21)",rschriner@edgewoodmail.com,15283
ALF,"New Horizons Assisted Living Facility
1111 Lane 12
Lovell WY 82431
","307-548-5200
307-548-5244","Big Horn
06/30","9
Level I",smoore8@nbhh.com,15023
ALF,"Baird Hudson Enterprises LLC
dba/Mondell Heights Retirement Community
106 East Main
Newcastle WY 82701
","307-941-1919
307-460-7007","Weston
12/31","23
Level I",mondellheights@gmail.com,15024
ALF,"Heartland Assisted Living
777 Ave H
Powell WY 82435
","307-754-2267
307-754-7790","Park
06/30","24
Level I",scoguill@pvhc.org,15025
ALF,"EP-RSAL LLC
dba/Deer Trail Assisted Living
2360 Reagan Ave
Rock Springs WY 82901
","307-362-0100
307-362-6088","Sweetwater
12/31","62 Total 
Level I (48)
Level II (14)",jeff@deertrailassistedliving.com,15026
ALF,"Homestead Assisted Living
950 Homestead Ave
Riverton WY 82501
","307-856-5789
307-856-0381","Fremont
06/30","55
Level I",homestead@wyoming.com,15250
ALF,"Elmcroft of Sugarland Ridge
1551 Sugarland Drive
Sheridan WY 82801","307-674-5575
307-674-8070","Sheridan
12/31","65
Level I",Tamara.Yelton-Boone@elmcroft.com,15289
ALF,"Sundance Assisted Care
108 Abby Lane
Sundance WY 82729
","307-283-1042
307-283-2120","Crook
12/31","15
Level I",wjohnson60@yahoo.com,15028
ALF,"Legacy Homes Assisted Living & Adult Day Care
2391 Muddy String Co Rd 117
Thayne WY 83127
","307-883-3800
307-883-3801","Lincoln
12/31","16 
Level I",emerritt@silverstar.com,15029
ALF,"Wyoming Pioneer Home
141 Pioneer Home Dr
Thermopolis WY 82443
","307-864-3151
307-864-2934","Hot Springs
06/30","61
Level I",julie.hoffman@wyo.gov,15030
ALF,"Platte County Assisted Living
98 19th St
Wheatland WY 82201
","307-322-7400
307-322-7435","Platte
06/30","16
Level I",josie.lauck@pcmnh.com,15231
